month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202006,53053,"pierce, wa",469800,0.0324,0.044,1306,-0.0268,-0.1316,37.5,0.0135,0.25,1064,0.1565,-0.1556,68,0.5455,0.5455,264,-0.1538,-0.5769,1681,0.1838,0.0783,232.0688193,0.0056,0.1221,2105.5,0.0281,-0.0609,571291,0.014,0.0674,2987,0.0815,-0.0248,1.2871,0.229,0.2506
202006,26121,"muskegon, mi",234950,0.093,0.0682,302,-0.1469,-0.1657,70,-0.0541,0.8919,188,0.093,-0.0784,0,-1,,76,0.1875,-0.24,447,0.5964,62.8571,123.1933189,0.0614,0.111,1618.5,-0.0191,-0.1141,331341,0.0664,0.086,749,0.1814,1.0298,1.4801,0.6892,1.4608
202006,26125,"oakland, mi",392994,0.0478,0.0481,3528,-0.0023,-0.2844,34.5,-0.4052,0.1129,2440,0.1553,-0.2129,72,0.3846,0.2857,1204,0.4828,-0.4278,632,0.9036,2.16,175.5575435,0.0188,0.0413,2226,0.0382,-0.0018,538459,0.0475,0.0528,4160,0.0755,-0.1891,0.1791,0.0852,0.1386
202006,22089,"st. charles, la",265000,-0.0362,-0.0187,51,0,-0.1639,44.5,-0.3154,0.141,20,-0.2857,-0.5455,0,,,16,3,0,65,-0.0152,0,124.4726384,-0.0442,0.0012,2017.5,-0.0447,-0.0792,315500,-0.0167,0.0151,116,-0.0085,-0.0794,1.2745,-0.0196,0.2089
202006,16019,"bonneville, id",339300,0.0601,0.1903,211,-0.0452,-0.0622,27,-0.069,0.08,160,-0.1667,-0.0909,4,-0.5,0,100,0.1905,0.0417,11,0.1,1.2,116.3734787,0.0166,0.1236,3003,0.0493,0.0672,415540,0.0628,0.0643,222,-0.039,-0.0348,0.0521,0.0069,0.0299
202006,27035,"crow wing, mn",324950,-0.0003,0.0156,391,-0.0864,-0.3601,59.5,-0.1119,-0.0556,176,0.0732,-0.1852,4,0,-0.5,120,0.1111,-0.434,261,0.483,0.3116,167.8066961,-0.0003,0.0129,2076,0.0201,0.0277,450310,0.0092,0.0166,652,0.0795,-0.1951,0.6675,0.2563,0.3418
202006,48439,"tarrant, tx",314050,0.0312,-0.0032,3517,-0.1076,-0.2969,44.5,-0.11,0.0349,2376,0.0171,-0.1354,152,0,-0.1739,1560,0.1143,-0.375,4299,0.2175,0.2106,140.5011498,0.0124,0.0417,2276.5,0.019,-0.0475,440872,0.0541,0.0184,7816,0.046,-0.0862,1.2223,0.3264,0.5124
202006,36013,"chautauqua, ny",176800,0.0106,0.0403,402,0.0203,-0.3128,102,-0.0556,0.4571,148,1.0556,-0.1395,4,,-0.5,60,0.6667,-0.4828,38,0.4615,0.6522,106.4674658,-0.004,0.0221,1724,0.0117,0.0564,262199,-0.0151,0.0772,440,0.0476,-0.2763,0.0945,0.0285,0.0552
202006,37035,"catawba, nc",294950,-0.0104,-0.0923,283,-0.0958,-0.3449,65.5,0.0565,-0.0903,120,-0.0625,-0.2308,4,0,-0.5,100,0.4706,-0.2188,239,0.0814,0.0529,134.6050383,0.0023,0.0541,2071,0.0039,-0.1054,394912,0.0235,-0.027,522,-0.0225,-0.2079,0.8445,0.1385,0.3191
202006,37085,"harnett, nc",257580,0.0364,0.0959,391,-0.1174,-0.3282,63,0.0161,-0.0308,164,-0.1961,-0.1087,16,0,1,72,-0.0526,-0.5263,371,0.1208,0.3345,116.4822365,0.016,0.1168,2197,0.0427,-0.0144,271529,0.0513,0.1017,762,-0.0155,-0.114,0.9488,0.2017,0.4712
202006,26091,"lenawee, mi",222550,0.06,0.2429,253,-0.0964,-0.4547,75.5,-0.0195,0.7159,112,-0.0968,-0.3333,0,-1,,76,0.3571,-0.2083,225,0.8,5.4286,118.327471,0.0239,0.0822,1780,0.0171,0.0697,264484,0.0729,0.1749,478,0.1802,-0.0421,0.8893,0.4429,0.8139
202006,22071,"orleans, la",359050,0.0257,-0.0271,1382,-0.0605,-0.1095,85,0.0494,0.1806,432,0.08,-0.0609,4,0,-0.5,392,0.225,-0.0926,778,0.3054,0.0731,221.3898342,0.06,0.0242,1719.5,0.0056,-0.0118,511979,0.0292,-0.026,2160,0.045,-0.0514,0.563,0.1578,0.0958
202006,33013,"merrimack, nh",379500,0.0399,0.133,259,0.0319,-0.4693,36,-0.3793,-0.2,228,0.425,-0.05,16,3,,40,0.25,-0.7059,240,0.3559,-0.1429,176.024678,0.059,0.1594,2186.5,0.016,0.0256,466673,0.0958,0.1052,499,0.1659,-0.3503,0.9266,0.2215,0.3529
202006,34037,"sussex, nj",305050,0.0201,0.0932,960,-0.0486,-0.3684,60,-0.2,-0.0769,408,0.186,-0.0642,16,1,0.3333,120,-0.2308,-0.6907,4,-0.3333,3,0,,,0,,,399848,0.0408,0.1337,964,-0.0502,-0.3662,0.0042,-0.0018,0.0035
202006,12081,"manatee, fl",338540,-0.0041,-0.0571,2226,-0.117,-0.181,92.5,0.1012,0.1563,680,0.0625,-0.0503,156,0.3929,1.4375,664,-0.006,-0.2057,1469,0.333,0.1414,177.78054,0.0076,0.0206,1892.5,-0.0071,-0.0504,523439,0.0361,0.0014,3695,0.0199,-0.0774,0.6599,0.2228,0.1864
202006,15001,"hawaii, hi",462050,0.029,0.0267,1288,-0.0168,-0.162,106,0.0928,0.06,260,0.0156,-0.1558,16,1,0,144,-0.027,-0.493,488,0.3013,-0.0792,338.0167959,0.0329,0.0621,1479,0.0048,-0.0371,1035671,0.0204,0.0214,1776,0.054,-0.1408,0.3789,0.0926,0.0341
202006,12023,"columbia, fl",239950,0.0208,0.0662,147,-0.02,-0.265,77.5,-0.0064,-0.0064,32,-0.4286,-0.4667,0,,-1,28,0.4,-0.3636,108,0.125,1.0377,120.6454063,0.0304,0.1019,1848,0.0199,-0.1149,271877,0.047,-0.0643,255,0.0366,0.0079,0.7347,0.0947,0.4697
202006,21015,"boone, ky",309950,-0.0313,0.0333,214,-0.0855,-0.4169,40.5,-0.0581,-0.0581,136,-0.0556,-0.4333,8,,1,88,0.1579,-0.3125,396,0.1031,0.0051,118.0875576,0.0312,0.2271,1852,0.0137,0.2289,388759,-0.0023,0.0732,610,0.0287,-0.1984,1.8505,0.3163,0.7769
202006,42071,"lancaster, pa",319500,-0.0014,0.1019,742,0.0249,-0.3503,45.5,-0.4091,-0.125,496,0.8788,-0.1507,48,1,1.4,164,2.4167,-0.4875,72,0.1077,-0.0769,145.1261767,-0.0058,0.0634,2149,0.0137,0.0519,378533,-0.0033,0.0942,814,0.0317,-0.3328,0.097,0.0073,0.0287
202006,16005,"bannock, id",317000,0.0933,0.2683,217,-0.0441,-0.0313,42.5,0.0897,0.6346,136,0.0625,-0.1053,20,0.6667,,88,0.375,-0.0435,207,0.2699,28.5714,117.3553643,0.053,0.1252,2733,0.076,0.0875,375178,0.0464,0.2242,424,0.0872,0.8355,0.9539,0.2359,0.9227
202006,12033,"escambia, fl",284553.5,0.0539,0.1118,915,-0.183,-0.3685,58.5,-0.1136,-0.1522,392,-0.0926,-0.2403,152,-0.1163,1.5333,292,-0.0267,-0.2474,48,1.5263,47,137.5844161,0.0305,0.0591,1902.5,0.0251,0.0098,413706,0.0521,0.1092,963,-0.1545,-0.3359,0.0525,0.0355,0.0518
