month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202006,75060,"irving, tx",,220000.0,-0.0353,-0.1022,19,0.0556,-0.3448,28.0,-0.451,0.037,24,1.0,0.0,0,,,8,1.0,-0.3333,29,0.1154,-0.1714,154.78364430329495,0.0173,0.0892,1488.0,-0.0688,-0.1399,238303.00000000003,-0.0483,-0.0549,48,0.0909,-0.25,1.5263,0.0819,0.3194
202006,93921,"carmel by the sea, ca",*,2881550.0,0.2807,0.2555,24,-0.1724,,108.0,0.1368,0.5429,4,0.0,-0.75,0,,,4,,-0.6667,12,5.0,3.0,1341.1078717201167,0.0077,0.0652,1942.0,0.1417,0.1777,3385015.0,0.1352,0.225,36,0.1613,-0.3077,0.5,0.431,0.4388
202006,49720,"charlevoix, mi",*,329500.0,-0.0282,-0.056,135,0.2857,-0.0878,76.0,-0.4109,,36,0.125,0.0,0,,,12,0.5,0.0,0,,,181.4569536423841,-0.0089,0.0345,1923.0,-0.0385,-0.0268,737700.0,-0.1017,0.1724,135,0.2857,-0.0878,0.0,0.0,0.0
202006,92111,"san diego, ca",,675049.5,0.1392,0.0716,21,-0.2222,-0.475,26.0,0.1304,-0.1333,28,-0.2222,-0.3,0,,,8,0.0,-0.6,51,0.186,0.2143,479.7578741827392,0.0606,0.1154,1347.0,0.1513,-0.0281,623952.0,0.0818,0.0733,72,0.0286,-0.122,2.4286,0.836,1.3786
202006,94547,"hercules, ca",*,670050.0,-0.029,0.0324,19,-0.24,,40.5,-0.0581,0.3065,16,0.0,-0.5556,0,-1.0,,4,,-0.75,42,0.2353,0.3548,360.4487057995343,0.0183,0.1046,1888.0,-0.0695,0.0107,653204.0,-0.0708,0.0386,61,0.0339,-0.1528,2.2105,0.8505,1.4544
202006,53184,"walworth, wi",,315050.0,0.0517,-0.0498,17,-0.15,-0.2273,158.5,0.0428,0.1241,0,-1.0,-1.0,0,,,0,,-1.0,10,2.3333,0.25,179.35897435897436,0.0371,0.0,1578.5,0.0119,-0.0116,401869.0,0.1024,-0.0373,27,0.1739,-0.1,0.5882,0.4382,0.2246
202006,33928,"estero, fl",,362050.0,-0.0694,0.0346,303,-0.0561,-0.2191,96.5,0.1221,0.1221,92,0.2105,0.0,4,,0.0,68,-0.0556,-0.3462,132,0.1892,-0.0504,185.16348654468877,0.0048,0.0053,1974.0,-0.0164,-0.0164,438772.0,-0.0063,0.0431,435,0.0069,-0.1746,0.4356,0.0898,0.0774
202006,12928,"crown point, ny",,210050.0,0.1764,-0.0667,18,0.0,-0.3571,450.0,0.0664,4.1136,0,,-1.0,0,,,0,,-1.0,3,-0.25,0.0,173.75,0.0482,0.0,1350.0,0.0,0.0045,282463.0,0.1872,0.1503,21,-0.0455,-0.3226,0.1667,-0.0556,0.0595
202006,12989,"vermontville, ny",,325050.0,-0.1214,0.4191,17,0.1333,0.1333,139.5,-0.0176,-0.5514,4,,0.0,0,,,0,,,3,0.0,2.0,216.47058823529412,-0.2166,0.3475,1800.0,0.0,0.1696,581972.0,-0.0684,0.3592,20,0.1111,0.25,0.1765,-0.0235,0.1098
202006,38852,"iuka, ms",*,235050.0,-0.0562,,84,-0.1845,,105.5,0.1593,,16,0.3333,-0.2,0,,,16,0.3333,-0.3333,21,0.5,0.6154,0.0,,,0.0,,,315441.0,-0.0892,-0.1085,105,-0.1026,-0.3226,0.25,0.1141,0.1585
202006,31833,"west point, ga",,242000.0,0.6236,0.274,18,-0.0526,-0.5909,60.0,-0.0323,-0.2405,4,-0.5,-0.5,0,,,4,,,8,0.3333,-0.2727,82.4960338445267,0.3679,0.0777,2708.5,0.0031,0.0167,310564.0,0.4849,0.1877,26,0.04,-0.5273,0.4444,0.1287,0.1944
202006,77565,"kemah, tx",*,477000.0,-0.0442,-0.0999,49,-0.1404,,106.0,0.2771,0.3947,8,-0.5,-0.5,0,,,12,0.0,-0.5714,28,0.4,0.3333,196.2581242780236,0.0069,-0.005,2752.0,-0.0289,0.046,744145.0,0.0058,0.1255,77,0.0,-0.1809,0.5714,0.2206,0.2838
202006,10803,"pelham, ny",*,1149050.0,0.0079,,128,-0.0154,,77.5,0.6848,,28,1.3333,0.4,0,,,8,1.0,-0.6667,29,0.0,13.5,349.7040122780092,0.0141,-0.0459,3068.5,0.0287,0.0998,1138681.0,0.0051,0.0005,157,-0.0126,0.9146,0.2266,0.0035,0.2016
202006,92130,"san diego, ca",,1224050.0,-0.0512,-0.0933,119,0.0085,-0.2563,35.5,-0.0405,-0.1548,92,0.2105,0.0,4,0.0,0.0,32,-0.1111,-0.4286,99,0.7069,-0.0748,518.5641478577849,-0.0035,0.0678,2602.5,-0.0498,-0.2171,1632045.0,-0.0405,-0.0089,218,0.2386,-0.1835,0.8319,0.3404,0.1632
202006,07647,"northvale, nj",,572050.0,-0.0621,0.0792,29,0.3182,-0.2368,42.0,-0.475,-0.475,16,1.0,0.3333,0,,,0,,-1.0,0,,,0.0,,,0.0,,,881391.0,-0.0775,0.161,29,0.3182,-0.2368,0.0,0.0,0.0
202006,37329,"englewood, tn",*,292500.0,0.1698,0.6156,16,0.2308,-0.5429,115.5,-0.175,,12,,0.5,0,,,4,,0.0,5,-0.5,0.0,100.64181952068549,0.0634,0.1028,2070.5,-0.2605,0.2949,278546.0,-0.0779,0.316,21,-0.087,-0.475,0.3125,-0.4567,0.1696
202006,55379,"shakopee, mn",,371327.5,-0.0099,0.0668,112,-0.1385,-0.2483,48.5,0.4265,0.3472,68,0.0625,-0.32,4,,0.0,28,-0.2222,-0.125,122,0.2979,0.2323,159.2774003247937,0.0032,0.0737,2056.0,-0.0302,-0.0667,415577.00000000006,0.0111,0.0985,234,0.0446,-0.0565,1.0893,0.3662,0.4249
202006,55438,"minneapolis, mn",,389950.0,0.0986,0.0127,26,0.1818,-0.2121,19.5,-0.371,-0.1875,20,-0.2857,-0.375,0,,,4,-0.5,-0.5,28,0.4,-0.0968,157.52912669385523,0.027,0.0008,2334.5,0.0348,-0.0208,434012.0,0.1049,-0.1076,54,0.2857,-0.1563,1.0769,0.1678,0.1375
202006,63857,"kennett, mo",*,119800.0,0.0063,1.3061,38,-0.1739,,166.5,0.1327,1.9732,8,1.0,1.0,0,,,4,,0.0,1,0.0,,59.82857255911399,-0.0027,0.683,1548.5,-0.0249,0.0167,129109.99999999999,0.0227,0.5405,39,-0.1702,4.5714,0.0263,0.0046,0.0263
202006,06754,"cornwall bridge, ct",,895050.0,0.0,0.1949,30,0.2,0.25,125.0,-0.3719,0.2376,8,1.0,,0,,,4,,0.0,0,,,311.52411519777934,0.0031,0.3435,2954.5,-0.0307,-0.0152,1184451.0,-0.036,0.1513,30,0.2,0.25,0.0,0.0,0.0
202006,02048,"mansfield, ma",,559950.0,-0.051,0.2445,16,-0.1111,-0.6,24.0,-0.4545,-0.1724,20,0.0,-0.375,0,,,8,1.0,-0.6667,9,0.125,-0.3077,221.1373546511628,-0.0139,-0.0804,2727.0,0.0107,0.4772,596730.0,-0.0196,0.2172,25,-0.0385,-0.5283,0.5625,0.1181,0.2375
202006,38611,"byhalia, ms",*,282549.5,0.0089,0.2555,20,-0.0476,,78.0,0.6957,0.322,12,0.0,0.5,0,,,0,-1.0,-1.0,29,0.2609,8.6667,114.74180177536498,0.0039,0.1556,2468.0,0.0498,0.2194,311759.0,0.0527,0.2587,49,0.1136,0.4848,1.45,0.3548,1.35
202006,52361,"williamsburg, ia",*,187050.0,-0.0878,-0.0645,24,-0.2941,,62.5,0.0965,0.6447,8,0.0,0.0,0,,,0,-1.0,-1.0,20,1.0,9.0,101.8881118881119,-0.1302,-0.0393,1943.5,-0.0927,-0.1565,218565.0,-0.1342,-0.0036,44,0.0,1.5882,0.8333,0.5392,0.7
202006,08312,"clayton, nj",*,125050.0,-0.1,,19,-0.2692,-0.525,98.5,0.3681,,8,0.0,0.0,0,,,8,0.0,-0.3333,4,1.0,0.3333,81.0392339646093,-0.056,-0.2571,1251.0,-0.0948,-0.1855,129906.0,-0.0836,-0.2176,23,-0.1786,-0.4651,0.2105,0.1336,0.1355
202006,83619,"fruitland, id",*,313050.0,0.0468,0.2723,18,-0.25,,56.0,0.6,,4,-0.75,-0.75,0,,,0,,-1.0,43,0.1316,42.0,172.17223650385603,-0.0092,0.1318,1755.5,0.0431,0.0704,358728.0,0.1357,0.3161,61,-0.0161,1.5417,2.3889,0.8056,2.3454
202006,44146,"bedford, oh",*,115050.0,0.0464,-0.0409,31,-0.0606,,52.0,-0.1475,-0.0877,20,0.25,-0.4444,0,,,12,0.0,-0.5,61,0.22,-0.1757,75.77807848443842,0.0375,-0.0094,1626.5,0.0242,0.2909,131862.0,0.0409,0.0177,92,0.1084,-0.3235,1.9677,0.4526,0.7742
202006,42701,"elizabethtown, ky",*,274950.0,0.0185,,115,-0.1727,,45.0,-0.0816,,68,0.3077,-0.3462,4,,,28,-0.125,-0.5882,208,0.1304,6.1724,107.32073851438386,0.0165,0.0316,2746.0,0.0748,0.131,314194.0,0.0688,0.1534,323,0.0,0.1703,1.8087,0.485,1.6913
202006,77389,"spring, tx",*,457050.0,0.0156,,233,-0.0292,,55.5,-0.0263,,108,0.125,-0.129,4,0.0,0.0,68,-0.1053,-0.5278,135,0.6667,0.125,136.392128137814,-0.0018,0.0063,3478.0,0.002,0.0116,659433.0,0.0311,0.0715,368,0.1464,-0.2397,0.5794,0.2419,0.2497
202006,43110,"canal winchester, oh",*,284950.0,0.0556,0.063,21,-0.2222,,48.5,-0.03,0.5156,28,0.1667,-0.5,0,,,8,1.0,-0.6,74,0.0137,-0.1294,127.87043912609477,0.0056,0.0653,1998.0,-0.0079,-0.1313,342533.0,0.0157,0.0132,95,-0.05,-0.3262,3.5238,0.8201,2.006
202006,60478,"country club hills, il",*,137000.0,-0.0211,0.0336,46,-0.1154,-0.2581,72.0,-0.0137,,20,0.0,-0.5,0,,,12,-0.25,-0.4,65,0.2037,0.3265,97.08791208791209,0.1509,0.1207,1400.0,-0.0667,-0.0566,154717.0,0.0111,0.0658,111,0.0472,0.0,1.413,0.3746,0.6227
202006,06820,"darien, ct",,1782550.0,0.061,0.0969,418,0.1359,-0.2522,70.0,-0.2135,-0.1954,160,0.3793,0.9048,0,,,56,0.4,-0.5758,3,-0.25,-0.25,466.1400614601931,0.0162,0.0009,3832.0,0.0087,0.0251,2329106.0,0.0607,-0.0434,421,0.1317,-0.2522,0.0072,-0.0037,0.0
202006,37321,"dayton, tn",*,234250.0,-0.0441,0.065,62,-0.1143,,63.0,-0.2025,0.2115,16,-0.5556,-0.2,0,,,12,-0.25,-0.625,50,-0.0566,1.0,126.69014084507042,0.0116,0.1619,1986.0,-0.0217,-0.094,375932.0,0.062,0.226,112,-0.0894,-0.1515,0.8065,0.0493,0.5728
202006,48098,"troy, mi",*,474500.0,0.0662,0.0555,54,0.102,,37.5,-0.4403,0.25,48,0.7143,-0.0769,0,,,20,1.5,-0.5455,9,0.8,1.25,180.79077638871036,0.0304,0.0817,2776.5,0.01,-0.0399,530351.0,0.0294,0.0898,63,0.1667,-0.3077,0.1667,0.0646,0.1207
202006,93923,"carmel, ca",*,2295050.0,0.02,0.0296,118,0.1132,,95.0,-0.0686,0.3768,40,0.4286,-0.2308,0,,,28,0.4,0.0,40,0.9048,0.2121,822.5365118993857,0.0612,0.0399,2517.0,0.008,0.0345,3431933.9999999995,-0.0313,0.1028,158,0.2441,-0.2217,0.339,0.1409,0.1449
202006,83687,"nampa, id",*,337450.0,0.0135,0.1121,112,-0.2276,,55.0,-0.0179,0.25,52,-0.0714,-0.35,16,1.0,,32,-0.3333,-0.4286,260,0.2037,64.0,167.26723283729137,0.0187,0.0508,2025.0,-0.0141,0.0,376233.0,0.037,0.1338,372,0.0305,1.4,2.3214,0.8318,2.2949
202006,35810,"huntsville, al",*,120050.0,0.0435,0.1549,18,-0.3333,,23.5,-0.733,-0.2419,12,0.0,-0.5714,0,,,0,-1.0,-1.0,0,,-1.0,80.11268343815513,0.1367,0.1402,1560.0,0.0331,0.0372,167330.0,0.0825,0.1864,18,-0.3333,-0.4857,0.0,0.0,-0.0294
202006,49224,"albion, mi",*,137500.0,0.1463,0.2856,27,-0.129,,82.5,0.1786,,12,0.5,-0.25,0,,,8,0.0,0.0,24,0.1429,23.0,69.55586657336133,-0.0428,0.065,1762.0,0.0092,0.1471,162314.0,0.0229,0.2463,51,-0.0192,0.2439,0.8889,0.2115,0.8639
202006,29860,"north augusta, sc",,289260.0,0.0422,0.0517,93,-0.0313,-0.2051,51.0,-0.2714,-0.2273,40,-0.0909,0.25,8,0.0,0.0,12,-0.25,-0.5714,89,0.2535,0.3906,117.6846590909091,0.0188,0.0716,2575.5,0.0002,-0.0196,289786.0,0.0082,-0.1196,182,0.0898,0.0055,0.957,0.2174,0.41
202006,97103,"astoria, or",*,413550.0,-0.0131,,70,-0.2222,,57.5,-0.2628,,32,-0.2,-0.3333,0,-1.0,,24,0.0,-0.1429,39,0.2581,5.5,206.87784242910647,0.014,0.0197,1953.5,-0.0329,-0.0242,545999.0,0.027,0.0931,109,-0.0992,-0.1866,0.5571,0.2127,0.5103
202006,23185,"williamsburg, va",*,465050.0,0.0941,,435,-0.1602,,87.0,0.0875,,148,-0.0263,-0.2292,16,,3.0,64,-0.2727,-0.6522,161,0.1838,-0.0529,165.96384526746598,0.0227,0.0659,2902.0,0.0816,0.0646,578545.0,0.0525,0.0767,596,-0.0887,-0.3142,0.3701,0.1076,0.1269
202006,56529,"dilworth, mn",*,250000.0,-0.0383,-0.0811,18,-0.1,,65.5,0.2596,0.7703,4,0.0,-0.6667,0,,,4,0.0,-0.5,5,-0.2857,,116.27906976744185,0.0014,0.0324,2100.0,-0.0476,-0.16,247540.0,-0.0516,-0.0557,23,-0.1481,-0.0417,0.2778,-0.0722,0.2778
202006,10461,"bronx, ny",*,599050.0,0.0,0.1302,69,0.0781,0.6429,77.5,0.6848,,16,3.0,0.0,0,,,4,0.0,-0.5,16,0.0,3.0,366.1671154049203,-0.0353,0.0355,1414.0,0.0648,0.049,562309.0,-0.0056,0.1765,85,0.0625,0.8478,0.2319,-0.0181,0.1366
202006,65401,"rolla, mo",*,185050.0,-0.149,0.0,76,-0.1556,,89.5,0.0655,,24,-0.25,-0.5,0,,,24,0.5,-0.3333,81,0.0658,0.2273,92.47507469472589,-0.0469,-0.108,2025.5,-0.0201,0.1762,242346.0,-0.0186,0.2197,157,-0.0542,-0.3114,1.0658,0.2213,0.6584
202006,48622,"farwell, mi",*,159950.0,0.0989,0.0667,26,-0.1613,,86.5,0.1234,,12,0.5,-0.25,0,,,4,,0.0,9,0.2857,8.0,92.33072916666666,-0.0241,0.1026,1553.0,0.0666,0.0381,155665.0,0.0144,0.0889,35,-0.0789,-0.3269,0.3462,0.1203,0.3265
202006,91910,"chula vista, ca",,586550.0,-0.0304,0.0683,37,-0.1591,-0.4127,42.0,0.0244,0.1667,40,0.1111,-0.2308,0,,,8,0.0,-0.6667,65,0.25,-0.2169,327.8371161548731,0.0005,0.0294,1624.0,-0.0316,-0.0205,639195.0,-0.04,0.0694,102,0.0625,-0.3014,1.7568,0.5749,0.4393
