month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202006,77632,"orange, tx",5564,4255,-703,947,63.85529,70.89769746,56.81288254,48,-0.2,-12,-0.0769,-4,-23.5,-0.0041,0.3851,1.0856,244400,-0.0187,0.2248,0.7155
202006,77445,"hempstead, tx",8017,11968,-1352,-1696,18.689886,33.80209851,3.577674147,84.5,0.3203,20.5,0.9205,40.5,13,0.2308,0.1852,0.2883,305050,0.0517,0.5403,0.8931
202006,77020,"houston, tx",5699,11379,5,786,23.007141,44.49868843,1.515593122,72.5,0.0357,2.5,0.3942,20.5,1,0.8462,0.6,0.2162,292500,0.0638,-0.0251,0.8563
202006,77545,"fresno, tx",6435,6665,147,3845,51.216846,85.47070825,16.96298455,37,-0.1957,-9,-0.1778,-8,-34.5,0.1204,1.3269,0.545,238800,0.0426,0.0565,0.6991
202006,77036,"houston, tx",102,10731,324,-1789,27.597639,44.87758671,10.31769164,72,-0.027,-2,0.6744,29,0.5,0.1951,0.2895,0.4414,118550,-0.0884,-0.4487,0.347
202006,77384,"conroe, tx",6325,9922,-745,1111,32.993296,60.97347712,5.01311571,56,0.098,5,0.12,6,-15.5,0.5208,0.2586,0.3288,380395,0.0147,0.0282,1.1137
202006,7739,"little silver, nj",12672,1117,1860,3825,85.835034,91.4893617,80.18070533,31.5,-0.4057,-21.5,-0.4375,-24.5,-40,0.5435,0.775,1.5991,925800,0.1645,0.1087,2.7107
202006,77551,"galveston, tx",6367,9749,-938,-1487,34.064413,27.84902361,40.27980181,92.5,0.1709,13.5,0.4231,27.5,21,0.1962,0.26,0.8514,199250,0.001,-0.1301,0.5833
202006,77514,"anahuac, tx",15976,12820,20,2305,11.479889,22.39143107,0.568347421,100.5,0.1044,9.5,-0.33,-49.5,29,-0.0278,-0.4697,0.1577,243040,0.0041,-0.0122,0.7115
202006,77301,"conroe, tx",3837,9278,-1112,1636,36.997231,64.41999417,9.574468085,53,0.0816,4,0.0816,4,-18.5,0.1585,0.6964,0.4279,240077.5,5.00E-04,0.0405,0.7028
202006,77474,"sealy, tx",8375,11245,609,-3367,24.019965,33.80209851,14.23783154,84.5,-0.0398,-3.5,0.837,38.5,13,0.2727,0.0769,0.5045,297050,0.0421,0.1207,0.8696
202006,7728,"freehold, nj",576,4526,1658,233,62.525503,38.31244535,86.73856019,79,-0.0247,-2,0.549,28,7.5,0.6585,1.2418,1.8378,479050,0.1975,0.0668,1.4026
202006,77640,"port arthur, tx",6673,11104,-974,-3250,24.985427,27.18595162,22.78490236,93.5,0.2303,17.5,0.5847,34.5,22,0.2193,-0.0211,0.6261,155050,0.1481,0.2118,0.4539
202006,77059,"houston, tx",7567,10280,1130,4170,30.628825,49.322355,11.93529583,67,-0.0946,-7,-0.2386,-21,-4.5,0.625,0.7931,0.4685,441450.5,0.0055,0.0277,1.2925
202006,77082,"houston, tx",255,11726,-935,-194,20.420431,35.82046051,5.020402215,82,0.1714,12,0.5769,30,10.5,-0.0135,0.3519,0.3288,395050,0.026,0.1791,1.1566
202006,77963,"goliad, tx",11808,11301,943,2355,23.619207,36.25036433,10.98805013,81.5,-0.1768,-17.5,-0.1684,-16.5,10,0.0978,0.1744,0.455,399944.5,-0.0364,0.8598,1.1709
202006,77372,"splendora, tx",9332,9645,55,675,34.738414,58.14631303,11.33051588,58.5,-0.0714,-4.5,0.125,6.5,-13,0.186,0.275,0.4595,206618,-0.0285,-0.0135,0.6048
202006,77049,"houston, tx",4560,7265,1741,1405,48.240309,51.7633343,44.71728359,64.5,-0.1284,-9.5,0.3438,16.5,-7,0.4225,1.1489,0.9099,204050,-0.0286,-0.0286,0.5973
202006,77378,"willis, tx",7734,9249,-881,-318,37.241329,62.59108132,11.8915768,54.5,-0.0268,-1.5,0.2976,12.5,-17,0.04,0.4444,0.4685,234550,-0.0021,0.2277,0.6866
202006,77590,"texas city, tx",3361,4540,1425,6066,62.419848,87.41620519,37.42349169,35.5,-0.3426,-18.5,-0.3983,-23.5,-36,0.2397,0.9674,0.8153,204300,0.1347,-0.05,0.5981
202006,77012,"houston, tx",7074,12278,119,,16.318129,30.0058292,2.630428447,89.5,0.0407,3.5,1.0341,45.5,18,0.0536,-0.0167,0.2658,192550,-0.037,0.1666,0.5637
202006,77024,"houston, tx",1554,11360,734,2031,23.167444,43.72631886,2.60856893,73.5,-0.0813,-6.5,0.1308,8.5,2,0.16,0.3182,0.2613,1249550,-4.00E-04,0.1107,3.6586
202006,77498,"sugar land, tx",1178,9728,-467,-333,34.199213,44.49868843,23.89973769,72.5,0.0357,2.5,0.6477,28.5,1,0.1833,0.9722,0.6396,302300,0.0126,-0.025,0.885
202006,77447,"hockley, tx",8657,11106,172,2237,24.970854,47.17283591,2.768872049,69.5,-0.0071,-0.5,0.1032,6.5,-2,0.3409,0.6389,0.2658,293420.5,0.0117,0.193,0.859
202006,77562,"highlands, tx",9279,9631,-751,2283,34.833139,60.47070825,9.195569805,56.5,0.066,3.5,-0.0583,-3.5,-15,0.2368,0.3056,0.4234,204400,0.0783,0.1359,0.5984
202006,77505,"pasadena, tx",5673,9117,407,-4963,37.820606,59.20285631,16.43835616,57.5,-0.1016,-6.5,1.7381,36.5,-14,0.2396,0.1019,0.536,287500,0.027,0.065,0.8417
202006,77318,"willis, tx",7030,11157,-754,1924,24.606529,42.58962402,6.623433401,75,0.1538,10,0.0714,5,3.5,0.1714,0.2813,0.3694,299500,0.0507,0.0015,0.8768
202006,77510,"santa fe, tx",7958,7407,611,1780,47.398718,81.20081609,13.59661906,40.5,-0.1563,-7.5,-0.1563,-7.5,-31,0.3415,0.2791,0.4955,249526.5,0.0103,-0.0397,0.7305
202006,77005,"houston, tx",4502,11117,517,694,24.923492,47.61731274,2.22967065,69,-0.0548,-4,0.3269,17,-2.5,0.375,0.1957,0.2477,1487050,0.0436,-0.0073,4.3541
202006,77068,"houston, tx",9047,6701,-689,-186,51.096619,32.18449432,70.00874381,86.5,0.1849,13.5,0.8021,38.5,15,0.3532,1.3047,1.3288,277450,0.0087,0.0355,0.8123
202006,77515,"angleton, tx",3711,10521,-752,733,29.036724,46.13086564,11.94258234,70.5,0.0682,4.5,0.175,10.5,-1,0.0833,0.2381,0.4685,237500,0.0217,-0.1005,0.6953
202006,77713,"beaumont, tx",6760,6559,-785,2156,51.723259,63.23229379,40.21422326,54,-0.1563,-10,-0.194,-13,-17.5,0.0161,0.2945,0.8514,296050,0.0386,0.0575,0.8667
202006,77063,"houston, tx",870,12114,-641,458,17.596911,34.27572136,0.918099679,84,0.1831,13,0.5,28,12.5,0.25,0.3333,0.1802,305050,-0.0439,-0.0161,0.8931
202006,77656,"silsbee, tx",6981,5351,-2491,4861,58.128097,63.70591664,52.55027689,53.5,0.049,2.5,-0.3228,-25.5,-18,0.0134,0.6449,1.0225,155050,-0.0312,0.0333,0.4539
202006,77477,"stafford, tx",2054,9448,1092,-1235,35.97712,51.26056543,20.69367531,65,-0.1216,-9,0.6667,26,-6.5,0.33,0.7051,0.5991,244550,0.023,-0.022,0.7159
202006,77072,"houston, tx",1038,6455,1409,1724,52.26246,67.45846692,37.06645293,50.5,-0.1984,-12.5,0.2949,11.5,-21,0.3433,1.3077,0.8108,158750,0.0108,0.0108,0.4647
202006,7734,"keansburg, nj",8679,5188,-2168,495,58.896823,45.28563101,72.50801516,71.5,0.1917,11.5,0.43,21.5,0,0.136,1.0065,1.3919,245050,0.0652,0.0889,0.7174
202006,77964,"hallettsville, tx",10466,11581,-1463,862,21.418683,21.24744972,21.58991548,102.5,0.3851,28.5,0.6803,41.5,31,0.2143,1.2667,0.6126,260050,0.156,0.2093,0.7613
202006,77803,"bryan, tx",4819,9948,234,2156,32.876712,45.28563101,20.46779365,71.5,-0.0205,-1.5,-0.0949,-7.5,0,0.2453,0.32,0.5946,189950,0.0556,0.1236,0.556
202006,77879,"somerville, tx",11919,9944,-202,-3247,32.894929,16.91926552,48.87059166,110.5,0.1755,16.5,1.0849,57.5,39,0.3272,0.4726,0.9685,137550,-0.0827,0.1554,0.4026
202006,77077,"houston, tx",104,10543,109,2226,28.90921,55.44301953,2.375400758,61,-0.0469,-3,0.0702,4,-10.5,0.1667,1,0.2523,360050,0.0286,0.0028,1.0541
202006,77703,"beaumont, tx",8268,8837,-352,-2802,39.507432,38.67677062,40.33809385,78.5,0.1056,7.5,1.0658,40.5,7,0.3014,0.7593,0.8559,75049,0.0869,0,0.2196
202006,77511,"alvin, tx",1069,9241,-1354,-497,37.259545,56.57242786,17.94666278,60,0.1111,6,0.2245,11,-11.5,0.1923,0.2917,0.5586,262992.5,0.0166,0.0377,0.7699
202006,77056,"houston, tx",2956,12434,313,2140,14.999271,29.21160012,0.786942582,90.5,0.0284,2.5,0.1753,13.5,19,0.3571,0.2667,0.1712,699050,-0.0014,-0.1261,2.0467
202006,77093,"houston, tx",2735,11128,509,1790,24.83241,42.58962402,7.075196736,75,-0.026,-2,0.0135,1,3.5,0.3281,0.0897,0.3829,180750,0.0326,0.3384,0.5291
202006,77389,"spring, tx",5399,9027,-33,2316,38.410813,61.54182454,15.27980181,55.5,-0.0263,-1.5,0.0472,2.5,-16,0.3372,0.8548,0.518,457050,0.0156,0.0272,1.3381
