month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202006,45780,"toledo, oh",85,187550,0.0481,0.0714,957,-0.1064,-0.2794,47,-0.2769,-0.0408,644,0.1103,-0.0529,160,0.3793,9,496,-0.0388,0.3053,839,0.256,0.1556,105.2953996,0.0496,0.0765,1762,0.025,-0.0017,242703,0.0554,0.0575
202006,19780,"des moines-west des moines, ia",86,280650,0.0204,-0.0185,2605,-0.1011,-0.2007,65.5,0.0077,0.1293,1104,-0.0036,-0.0738,284,0.3148,0.127,1376,0.0886,-0.2554,2961,0.145,0.3696,177.7384683,0.0215,0.0161,1596,0.0076,-0.0087,329323,0.0352,0.0248
202006,44140,"springfield, ma",87,349094,0.058,0.1673,846,-0.0547,-0.3779,56.5,-0.2042,0.2841,528,0.1892,-0.2747,12,0.5,0,276,0.3019,-0.4812,269,0.2339,0.0037,176.5543975,0.003,0.0899,1866.5,0.0364,0.0111,401512,0.0402,0.1336
202006,29460,"lakeland-winter haven, fl",88,237450,0.006,0.015,2654,-0.0883,-0.0988,79,0.1127,0.2344,984,0.1031,-0.1087,232,0.7059,0.8125,632,-0.1596,-0.2547,2246,0.2246,0.1649,130.5852776,0.0109,0.0571,1842,-0.0027,-0.0218,280170,-0.0015,-0.0186
202006,37340,"palm bay-melbourne-titusville, fl",89,299050,0.0003,0.0136,2515,-0.1645,-0.2393,75,0.1364,0.2097,968,-0.032,-0.1906,168,1.2105,1.8,808,-0.0605,-0.3526,2466,0.281,0.2386,164.0253955,0.0059,0.0529,1841,-0.0059,-0.027,414671,0.0192,0.0427
202006,32580,"mcallen-edinburg-mission, tx",90,215000,0.0747,0.0801,1422,-0.1645,-0.2953,101.5,0.1033,0.1802,352,-0.033,-0.2667,16,-0.3333,-0.2,240,0.0169,-0.2771,27,0.2273,-0.25,102.670184,0.0202,0.0639,2031.5,0.0183,-0.0134,279001,0.0409,0.0902
202006,25420,"harrisburg-carlisle, pa",91,259700,0.0357,0.154,934,0.0141,-0.41,38.5,-0.45,-0.2451,664,0.6117,-0.0235,24,-0.25,-0.25,252,1.4231,-0.5263,64,0.3617,0.3061,123.4495653,0.0036,0.0973,2124,-0.0047,0.0515,303463,0.013,0.1254
202006,42540,"scranton--wilkes-barre--hazleton, pa",92,177000,0.0415,0.0724,1324,-0.063,-0.3737,101,-0.0734,0.5075,576,2.3488,-0.1628,8,0,0,300,3.6875,-0.4526,455,1.0222,0.1179,93.55949079,0.0221,0.0372,1849,0.0159,-0.0005,228418,0.047,0.0502
202006,12260,"augusta-richmond county, ga-sc",93,242500,0.0106,0.0546,1551,-0.1267,-0.3733,73.5,-0.0068,0.1136,668,0.1597,-0.2894,112,0.037,0.4737,308,-0.2062,-0.438,1640,0.1389,0.1566,111.4001535,0.0146,0.0846,2249,-0.0018,0.0144,322119,0.0287,0.0947
202006,49660,"youngstown-warren-boardman, oh-pa",94,129950,0.0392,0.0085,994,-0.0897,-0.4001,87.5,-0.0385,0.306,448,0.2444,-0.2821,8,1,-0.3333,268,0.2182,-0.4463,986,0.3638,0.1004,55.90231481,0.0488,0.0515,1344.5,0.0004,0.0773,188856,0.0411,0.0507
