month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio
202006,77044,"houston, tx",281870,158,46.5,64,4,52,159,103.2303584,2805.5,322329,317,1.0063
202006,77471,"rosenberg, tx",261415,94,62.5,32,4,24,90,105.0473507,2443.5,273495,184,0.9574
202006,77571,"la porte, tx",241000,97,49,64,4,24,101,117.2643645,2021.5,326991,198,1.0412
202006,77380,"spring, tx",679839,158,52,56,0,40,60,192.482648,3203.5,864118,218,0.3797
202006,77084,"houston, tx",225050,134,52.5,80,8,32,173,100.0876126,2249.5,235095,307,1.291
202006,77632,"orange, tx",244400,99,48,48,0,16,5,102.6707887,2261,253633,104,0.0505
202006,77505,"pasadena, tx",287500,36,57.5,16,0,12,40,112.2773044,2556,309675,76,1.1111
202006,77535,"dayton, tx",285765,107,63.5,40,4,44,60,125.0207411,2191.5,285831,167,0.5607
202006,77611,"bridge city, tx",222050,61,40.5,20,0,28,8,107.0614035,2114,252422,69,0.1311
202006,77075,"houston, tx",222340,39,49.5,12,0,4,37,112.418936,1952,241058,76,0.9487
202006,77664,"warren, tx",215050,20,139.5,0,0,0,2,99.26131117,2211,759763,22,0.1
202006,77028,"houston, tx",186300,36,63.5,12,0,8,24,116.969697,1324,179419,60,0.6667
202006,77063,"houston, tx",305050,160,84,36,0,44,39,156.5622918,1989,469932,199,0.2438
202006,77058,"houston, tx",247050,62,77,24,0,24,33,119.8040016,2127.5,263905,95,0.5323
202006,77379,"spring, tx",324950,261,56,116,4,104,250,104.1362863,3141.5,372520,511,0.9579
202006,77033,"houston, tx",146950,51,61.5,24,0,4,30,108.7094039,1326.5,154711,81,0.5882
202006,77096,"houston, tx",386300,195,63.5,68,0,76,68,172.7646356,2323.5,447947,263,0.3487
202006,77355,"magnolia, tx",398997,128,66,60,12,48,87,137.6908007,2708.5,581046,215,0.6797
202006,77025,"houston, tx",470050,190,66.5,64,0,52,48,210.005753,2365,677224,238,0.2526
202006,77465,"palacios, tx",222050,81,113,12,0,4,13,139.5271788,1429,252559,94,0.1605
202006,77378,"willis, tx",234550,55,54.5,24,0,24,29,125.1186103,1824,278403,84,0.5273
202006,77514,"anahuac, tx",243040,59,100.5,8,0,4,18,129.413171,1813.5,283450,77,0.3051
202006,77006,"houston, tx",606250,151,54,68,0,32,67,240.4819803,2537,732494,218,0.4437
202006,77705,"beaumont, tx",165000,75,69.5,32,0,12,13,103.1229485,1684.5,183537,88,0.1733
202006,77062,"houston, tx",280000,42,33.5,32,0,16,52,124.5892524,2483,315768,94,1.2381
202006,77049,"houston, tx",204050,37,64.5,24,0,8,48,101.369863,2021.5,227108,85,1.2973
202006,77083,"houston, tx",225050,76,64.5,40,4,16,81,101.8318966,2138,228444,157,1.0658
202006,77532,"crosby, tx",245000,120,60.5,52,0,40,107,107.7465813,2230.5,307656,227,0.8917
202006,77979,"port lavaca, tx",219950,61,94,16,0,8,18,133.0952381,1819.5,297643,79,0.2951
202006,77435,"east bernard, tx",299950,20,85.5,4,0,0,8,141.0867548,2251,293771,28,0.4
202006,77064,"houston, tx",227550,37,40.5,28,0,12,56,101.1182109,2332,242625,93,1.5135
202006,77074,"houston, tx",223500,51,53.5,24,0,20,28,128.6856575,1615,227965,79,0.549
202006,77493,"katy, tx",320050,346,56,176,64,112,329,127.0000987,2628,357901,675,0.9509
202006,77354,"magnolia, tx",375050,201,57,88,8,56,151,137.8905959,2670,453517,352,0.7512
202006,77078,"houston, tx",139050,16,95.5,4,0,0,9,103.8169245,1104,138709,25,0.5625
202006,77019,"houston, tx",820049.5,255,78,72,0,48,65,287.3440656,2999.5,1637008,320,0.2549
202006,77060,"houston, tx",173500,14,79.5,4,0,0,10,104.5816733,1616.5,188103,24,0.7143
202006,77384,"conroe, tx",380395,143,56,64,4,28,95,134.6957973,2897,454230,238,0.6643
202006,77702,"beaumont, tx",137550,19,49,12,0,0,3,73.8050958,1867.5,232129,22,0.1579
202006,77046,"houston, tx",300050,15,148,0,0,4,2,229.0448343,1391,415126,17,0.1333
202006,77581,"pearland, tx",302547.5,89,51,52,8,28,107,119.6727912,2461,340786,196,1.2022
202006,77077,"houston, tx",360050,253,61,104,4,80,102,146.9078067,2573.5,442400,355,0.4032
202006,77708,"beaumont, tx",179950,33,70,12,0,8,4,84.83285039,1777,185441,37,0.1212
202006,77808,"bryan, tx",371000,101,58,32,0,28,51,158.528252,2378,410895,152,0.505
202006,77568,"la marque, tx",239950,170,62,36,16,28,97,118.8758853,1996.5,243997,267,0.5706
202006,77373,"spring, tx",190000,134,40.5,100,0,36,163,95.05919832,1947,205043,297,1.2164
202006,77578,"manvel, tx",359550,159,59,44,28,68,89,129.9958935,2794,373881,248,0.5597
202006,77474,"sealy, tx",297050,54,84.5,20,0,4,24,146.5605881,2002.5,418191,78,0.4444
202006,77619,"groves, tx",159500,55,53,32,0,12,12,106.9456328,1495,180768,67,0.2182
202006,77545,"fresno, tx",238800,29,37,12,0,0,50,93.90503189,2431,255722,79,1.7241
202006,77457,"matagorda, tx",275050,43,213.5,4,0,4,4,211.8794326,1300,312886,47,0.093
202006,77027,"houston, tx",1085050,187,86,48,0,36,35,398.8237827,2777,1471626,222,0.1872
202006,77489,"missouri city, tx",187050,35,43,20,0,4,59,101.6346449,1851,190580,94,1.6857
202006,77480,"sweeny, tx",209950,38,88.5,8,0,8,12,134.352075,1821,307669,50,0.3158
202006,77954,"cuero, tx",189750,21,136.5,8,0,4,12,91.71195652,1930,232599,33,0.5714
202006,77079,"houston, tx",530050,212,64,84,0,64,81,174.7990065,2941,659510,293,0.3821
202006,77069,"houston, tx",296300,97,50.5,48,0,32,69,102.358335,2966.5,399916,166,0.7113
202006,77081,"houston, tx",439050,30,62.5,12,0,4,7,180.1587302,2189.5,440939,37,0.2333
202006,77021,"houston, tx",299500,97,57,36,0,28,38,154.6501981,1764,360323,135,0.3918
202006,77836,"caldwell, tx",369050,32,96,16,0,0,18,147.4530831,2144,423389,50,0.5625
202006,77086,"houston, tx",180000,15,77,12,0,0,18,112.3301963,1685,229457,33,1.2
202006,77630,"orange, tx",171950,130,67,56,0,20,10,83.71867832,2036,221159,140,0.0769
202006,77073,"houston, tx",190050,54,60.5,32,0,16,61,93.60171949,2090.5,197365,115,1.1296
202006,77575,"liberty, tx",227950,23,58,8,0,4,16,96.48512198,2198,236860,39,0.6957
202006,77098,"houston, tx",777300,121,75,36,0,24,22,297.2688598,2703,1009436,143,0.1818
202006,77612,"buna, tx",227250,25,59.5,8,0,8,7,99.32515118,2280,243610,32,0.28
202006,77008,"houston, tx",521245,373,51,180,8,120,199,222.6462809,2427,632012,572,0.5335
202006,77662,"vidor, tx",158950,165,47,80,0,44,18,98.45070423,1783,170870,183,0.1091
202006,77539,"dickinson, tx",249500,164,61.5,72,8,36,136,123.5927489,1975,294695,300,0.8293
202006,77095,"houston, tx",275050,98,40,76,4,36,139,101.835126,2689.5,285799,237,1.4184
202006,77041,"houston, tx",425050,71,46.5,36,0,24,57,127.5975915,3174.5,410373,128,0.8028
202006,77011,"houston, tx",270050,33,63,8,0,8,12,166.4363773,1743.5,293681,45,0.3636
202006,77036,"houston, tx",118550,77,72,20,0,16,20,94.82802611,1234,151395,97,0.2597
202006,77040,"houston, tx",269050,39,54.5,24,0,12,41,111.4359098,2460,275837,80,1.0513
202006,77327,"cleveland, tx",192545,137,75,20,12,16,40,116.4622303,1671,224534,177,0.292
202006,77071,"houston, tx",199500,49,58,20,4,24,33,86.44392659,2059,186096,82,0.6735
202006,77659,"sour lake, tx",240049,32,116,12,0,8,5,128.7658036,1900,255411,37,0.1563
202006,77565,"kemah, tx",477000,49,106,8,0,12,28,196.2581243,2752,744145,77,0.5714
202006,77375,"tomball, tx",325050,257,42.5,136,12,80,189,127.8546379,2588,418782,446,0.7354
202006,77563,"hitchcock, tx",321300,46,102.5,12,0,20,42,179.1427097,1864,438320,88,0.913
202006,77401,"bellaire, tx",996550,193,81,40,0,52,35,281.0852639,3855,1061206,228,0.1813
202006,77088,"houston, tx",175050,84,78.5,28,0,16,42,108.6208104,1569,177243,126,0.5
202006,77840,"college station, tx",197050,240,116.5,48,0,28,65,127.511592,1491,241229,305,0.2708
202006,77504,"pasadena, tx",196040,26,43.5,16,0,4,23,106.6322089,1785.5,221020,49,0.8846
202006,77449,"katy, tx",215050,133,41.5,128,16,28,256,104.0252498,2054,217087,389,1.9248
202006,77459,"missouri city, tx",356550,379,55,184,8,136,288,123.415873,3050,427505,667,0.7599
202006,77365,"porter, tx",289545,213,58.5,96,32,64,160,118.7664609,2605.5,328294,373,0.7512
202006,77598,"webster, tx",219950,30,47,16,0,8,23,114.6472288,1654,251314,53,0.7667
202006,77043,"houston, tx",389950,161,77,56,0,60,43,171.0895281,2210.5,378782,204,0.2671
202006,77503,"pasadena, tx",170050,19,39.5,20,0,4,25,109.2595176,1505.5,182632,44,1.3158
202006,77338,"humble, tx",203995,80,49.5,48,4,20,90,102.3162575,1914,209585,170,1.125
202006,77089,"houston, tx",251850,91,40.5,48,16,36,86,110.7088812,2244.5,263476,177,0.9451
202006,77861,"iola, tx",442500,17,54.5,4,0,4,13,175.0250752,2242,415789,30,0.7647
202006,77005,"houston, tx",1487050,166,69,64,0,52,61,391.7757156,3753,1651497,227,0.3675
202006,77573,"league city, tx",358300,263,44.5,156,20,112,262,127.7723412,2845.5,393826,525,0.9962
202006,77042,"houston, tx",350050,156,57,60,0,48,62,145.1900013,2243,548976,218,0.3974
202006,77562,"highlands, tx",204400,13,56.5,8,0,0,15,109.4230769,1734,213696,28,1.1538
