date,zip_code,permit_type,count,land_use
2017-01-19,77023,Residential,1,Single Family Residential (Public Street)
2017-01-19,77023,Residential,1,Single Family Residential (Public Street)
2017-01-19,77023,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-01-19,77023,Residential,1,Single Family Residential (Public Street)
2017-01-19,77026,Unrestricted,1,Unrestricted
2017-01-19,77027,Residential,1,Single Family Residential (Public Street)
2017-01-19,77027,Residential,1,Single Family Residential (Public Street)
2017-01-19,77029,Commercial,1,"Church, School and Institutional; Commercial"
2017-01-19,77033,Commercial,1,Commercial
2017-01-19,77041,Commercial,1,Commercial
2017-01-19,77044,Other,1,"Church, School and Institutional"
2017-01-19,77044,Residential,1,Single Family Residential (Public Street)
2017-01-19,77044,Residential,1,Compensating Open Space; Recreation; Single Family Residential (Public Street)
2017-01-19,77047,Unrestricted,1,Unrestricted
2017-01-19,77048,Unrestricted,1,Unrestricted
2017-01-19,77051,Unrestricted,1,Unrestricted
2017-01-19,77053,Unrestricted,1,Unrestricted
2017-01-19,77055,Residential,1,Single Family Residential (Public Street)
2017-01-19,77055,Residential,1,Single Family Residential (Public Street)
2017-01-19,77055,Residential,1,Single Family Residential (Public Street)
2017-01-19,77055,Commercial,1,Commercial
2017-01-19,77064,Unrestricted,1,Unrestricted
2017-01-19,77065,Unrestricted,1,Unrestricted
2017-01-19,77065,Unrestricted,1,Unrestricted
2017-01-19,77070,Unrestricted,1,Unrestricted
2017-01-19,77073,Unrestricted,1,Unrestricted
2017-01-19,77080,Residential,1,Single Family Residential (Public Street)
2017-01-19,77080,Residential,1,Single Family Residential (Public Street)
2017-01-19,77084,Unrestricted,1,Unrestricted
2017-01-19,77084,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-01-19,77084,Residential,1,Single Family Residential (Public Street)
2017-01-19,77084,Other,1,General Plan
2017-01-19,77090,Unrestricted,1,Unrestricted
2017-01-19,77093,Residential,1,Single Family Residential (Public Street)
2017-01-19,77336,Other,1,"Church, School and Institutional"
2017-01-19,77338,Residential,1,Single Family Residential (Public Street)
2017-01-19,77346,Other,1,Street Dedication
2017-01-19,77357,Commercial,1,Commercial
2017-01-19,77373,Commercial,1,Commercial
2017-01-19,77375,Unrestricted,1,Unrestricted
2017-01-19,77375,Other,1,"Water Treatment, Production or Repressurization"
2017-01-19,77375,Unrestricted,1,Unrestricted
2017-01-19,77377,Other,1,Drainage or Detention; Landscape or Open Space; Street Dedication
2017-01-19,77379,Residential,1,Landscape or Open Space; Recreation; Single Family Residential (Public Street)
2017-01-19,77379,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-19,77379,Residential,1,Landscape or Open Space; Recreation; Single Family Residential (Public Street)
2017-01-19,77379,Residential,1,"Landscape or Open Space; Recreation; Single Family Residential (Public Street); Water Treatment, Production or Repressurization"
2017-01-19,77386,Unrestricted,1,Unrestricted
2017-01-19,77386,Unrestricted,1,Unrestricted
2017-01-19,77388,Unrestricted,1,Unrestricted
2017-01-19,77406,Commercial,1,Commercial
2017-01-19,77407,Other,1,Street Dedication
2017-01-19,77407,Other,1,Landscape or Open Space
2017-01-19,77407,Residential,1,Landscape or Open Space; Lift Station; Recreation; Single Family Residential (Public Street)
2017-01-19,77407,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-19,77407,Other,1,Drainage or Detention; Landscape or Open Space; Other
2017-01-19,77407,Other,1,General Plan
2017-01-19,77429,Commercial,1,Commercial
2017-01-19,77429,Unrestricted,1,Unrestricted
2017-01-19,77429,Unrestricted,1,Unrestricted
2017-01-19,77429,Other,1,General Plan
2017-01-19,77429,Commercial,1,Commercial
2017-01-19,77433,Residential,1,Single Family Residential (Public Street)
2017-01-19,77433,Residential,1,Single Family Residential (Public Street)
2017-01-19,77433,Other,1,Landscape or Open Space
2017-01-19,77433,Other,1,Landscape or Open Space
2017-01-19,77433,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-19,77433,Other,1,General Plan
2017-01-19,77433,Other,1,Street Dedication
2017-01-19,77433,Residential,1,Single Family Residential (Public Street)
2017-01-19,77433,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-01-19,77433,Commercial,1,Commercial
2017-01-19,77449,Commercial,1,Commercial
2017-01-19,77449,Unrestricted,1,Unrestricted
2017-01-19,77449,Unrestricted,1,Unrestricted
2017-01-19,77493,Residential,1,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street)
2017-01-19,77493,Residential,1,Single Family Residential (Public Street)
2017-01-19,77493,Residential,1,Single Family Residential (Public Street)
2017-01-19,77493,Residential,1,Single Family Residential (Public Street)
2017-01-19,77493,Residential,1,Single Family Residential (Public Street)
2017-01-19,77493,Commercial,1,Commercial
2017-01-19,77493,Unrestricted,1,Unrestricted
2017-01-19,77493,Commercial,1,Commercial
2017-01-19,77494,Other,1,Street Dedication
2017-01-19,77498,Commercial,1,Commercial
2017-01-19,77498,Commercial,1,Commercial
2017-01-19,77545,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-19,77546,Residential,1,Compensating Open Space; Lift Station; Single Family Residential (Public Street)
2017-02-02,77002,Unrestricted,1,Unrestricted
2017-02-02,77004,Residential,1,Single Family Residential (Public Street)
2017-02-02,77004,Residential,1,Single Family Residential (Shared Driveways)
2017-02-02,77004,Residential,1,Single Family Residential (Public Street)
2017-02-02,77004,Residential,1,Single Family Residential (Public Street)
2017-02-02,77004,Residential,1,Single Family Residential (Public Street)
2017-02-02,77004,Unrestricted,1,Unrestricted
2017-02-02,77006,Residential,1,Single Family Residential (Shared Driveways)
2017-02-02,77007,Residential,1,Single Family Residential (Public Street)
2017-02-02,77012,Unrestricted,1,Unrestricted
2017-02-02,77013,Unrestricted,1,Unrestricted
2017-02-02,77015,Unrestricted,1,Unrestricted
2017-02-02,77020,Residential,1,Single Family Residential (Shared Driveways)
2017-02-02,77021,Residential,1,Single Family Residential (Public Street); Single Family Residential (Shared Driveways)
2017-02-02,77021,Residential,1,Landscape or Open Space; Single Family Residential (Shared Driveways); Other
2017-02-02,77022,Unrestricted,1,Unrestricted
2017-02-02,77022,Residential,1,Single Family Residential (Public Street)
2017-02-02,77023,Residential,1,Single Family Residential (Public Street)
2017-02-02,77023,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-02-02,77023,Residential,1,Single Family Residential (Public Street)
2017-02-02,77026,Unrestricted,1,Unrestricted
2017-02-02,77027,Residential,1,Single Family Residential (Public Street)
2017-02-02,77027,Commercial,1,Commercial
2017-02-02,77032,Commercial,1,Commercial
2017-02-02,77033,Commercial,1,Commercial
2017-02-02,77038,Residential,1,Drainage or Detention; Single Family Residential (Public Street); Other
2017-02-02,77042,Unrestricted,1,Unrestricted
2017-02-02,77044,Other,1,"Church, School and Institutional"
2017-02-02,77045,Unrestricted,1,Unrestricted
2017-02-02,77045,Residential,1,Single Family Residential (Public Street)
2017-02-02,77047,Unrestricted,1,Unrestricted
2017-02-02,77055,Residential,1,Single Family Residential (Public Street)
2017-02-02,77055,Unrestricted,1,Unrestricted
2017-02-02,77061,Unrestricted,1,Unrestricted
2017-02-02,77063,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-02-02,77070,Residential,1,Single Family Residential (Public Street)
2017-02-02,77070,Unrestricted,1,Unrestricted
2017-02-02,77080,Residential,1,Single Family Residential (Public Street)
2017-02-02,77084,Residential,1,Single Family Residential (Public Street)
2017-02-02,77084,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-02-02,77084,Other,1,General Plan
2017-02-02,77084,Unrestricted,1,Unrestricted
2017-02-02,77086,Residential,1,Single Family Residential (Public Street)
2017-02-02,77092,Residential,1,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2)
