Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Home mortgage interest paid ,Total charitable contributions,Taxable income,Income tax
,,,,,,,
,,-1,-69,-75,-85,-91,-133
75065,"$50,000 under $75,000",880,1285,1641,1052,34119,4183
75065,"$75,000 under $100,000",640,1526,1733,1042,39422,5520
75065,"$100,000 under $200,000",940,3644,4294,2771,97212,16436
75065,"$200,000 or more",230,1429,1709,1615,67589,16624
,,,,,,,
75067,,32910,22234,29517,26213,1056626,161331
75067,"$1 under $25,000",11420,964,1380,929,33415,2955
75067,"$25,000 under $50,000",10150,2526,3625,4075,190560,19873
75067,"$50,000 under $75,000",4990,4010,5688,4612,200419,25718
75067,"$75,000 under $100,000",2620,4042,5204,4300,163910,23606
75067,"$100,000 under $200,000",3250,8343,11023,9054,341815,59486
75067,"$200,000 or more",480,2349,2597,3243,126507,29693
,,,,,,,
75068,,23850,52610,66425,32718,1194777,198534
75068,"$1 under $25,000",6330,1506,2026,677,15908,1426
75068,"$25,000 under $50,000",4590,4569,5701,2661,80373,7942
75068,"$50,000 under $75,000",3740,8069,10025,4728,142403,17061
75068,"$75,000 under $100,000",3080,9214,12020,5184,180470,23525
75068,"$100,000 under $200,000",5230,22889,29412,13195,525568,86383
75068,"$200,000 or more",880,6363,7241,6273,250055,62197
,,,,,,,
75069,,16830,34174,32132,30594,1001811,224057
75069,"$1 under $25,000",6190,1114,1063,583,14973,1351
75069,"$25,000 under $50,000",4340,1910,1914,1603,73452,7484
75069,"$50,000 under $75,000",1960,2770,2633,1986,76003,9587
75069,"$75,000 under $100,000",1120,3081,2879,1949,67967,9476
75069,"$100,000 under $200,000",2040,10371,9810,7603,216868,37147
75069,"$200,000 or more",1180,14928,13833,16870,552548,159012
,,,,,,,
75070,,44100,138898,145527,99846,3436838,694948
75070,"$1 under $25,000",10650,3168,2989,1368,26281,2369
75070,"$25,000 under $50,000",7010,7012,7337,4411,135616,14384
75070,"$50,000 under $75,000",5610,11831,12689,7122,219951,27513
75070,"$75,000 under $100,000",4900,16211,17834,9239,293954,40138
75070,"$100,000 under $200,000",11560,59689,66686,36125,1221084,206822
75070,"$200,000 or more",4370,40987,37992,41581,1539952,403722
,,,,,,,
75071,,22560,64369,74335,48487,1549379,297306
75071,"$1 under $25,000",5880,1414,1434,593,14528,1326
75071,"$25,000 under $50,000",3820,3422,3568,2205,69204,7070
75071,"$50,000 under $75,000",2790,5622,6575,3620,107871,13078
75071,"$75,000 under $100,000",2530,7586,9454,4524,150327,19866
75071,"$100,000 under $200,000",5600,28988,34889,17884,582965,97700
75071,"$200,000 or more",1940,17337,18415,19661,624484,158266
,,,,,,,
75074,,22820,22663,26834,23414,973128,170873
75074,"$1 under $25,000",8160,876,1160,608,19711,1715
75074,"$25,000 under $50,000",5930,1951,2382,1784,102042,10315
75074,"$50,000 under $75,000",3110,2821,3462,2675,123864,15922
75074,"$75,000 under $100,000",1940,3347,4208,2544,120570,17258
75074,"$100,000 under $200,000",2910,9151,11133,8224,310861,53674
75074,"$200,000 or more",770,4517,4489,7579,296080,71989
,,,,,,,
75075,,17200,24469,26706,24170,950632,171790
75075,"$1 under $25,000",5030,1094,1083,695,13009,1152
75075,"$25,000 under $50,000",3610,1818,1843,1711,70622,7630
75075,"$50,000 under $75,000",2330,2872,3343,2315,96068,12697
75075,"$75,000 under $100,000",1820,3396,3967,2903,114913,16723
75075,"$100,000 under $200,000",3450,10174,11625,9468,374478,64992
75075,"$200,000 or more",960,5115,4845,7078,281542,68596
,,,,,,,
75076,,3610,3783,4437,4488,173097,32094
75076,"$1 under $25,000",1210,224,163,134,2797,271
75076,"$25,000 under $50,000",850,339,390,375,15471,1659
75076,"$50,000 under $75,000",530,490,543,567,20871,2600
75076,"$75,000 under $100,000",360,503,671,561,21251,2818
75076,"$100,000 under $200,000",500,1272,1661,1204,52588,8911
75076,"$200,000 or more",160,955,1009,1647,60119,15835
,,,,,,,
75077,,17630,47816,50801,45511,1422383,298048
75077,"$1 under $25,000",4730,975,987,561,12848,1172
75077,"$25,000 under $50,000",2880,2441,2554,1719,56983,6083
75077,"$50,000 under $75,000",2150,3910,4532,2749,85699,10953
75077,"$75,000 under $100,000",1830,4749,5417,3531,111641,15346
75077,"$100,000 under $200,000",4170,19788,21826,14146,446986,75843
75077,"$200,000 or more",1870,15953,15485,22805,708226,188651
,,,,,,,
75078,,10160,56487,64986,37284,1203442,273048
75078,"$1 under $25,000",2110,763,690,257,4732,443
75078,"$25,000 under $50,000",1030,1340,1358,623,18733,1944
75078,"$50,000 under $75,000",780,2181,2425,1297,29249,3552
75078,"$75,000 under $100,000",860,3582,4154,1766,49001,6353
75078,"$100,000 under $200,000",2950,21315,24962,10205,314030,52802
75078,"$200,000 or more",2430,27306,31397,23136,787697,207954
,,,,,,,
75080,,20440,33314,32771,35961,1210565,232014
75080,"$1 under $25,000",6120,1066,979,607,15374,1343
75080,"$25,000 under $50,000",4260,2023,1918,1706,81623,8705
75080,"$50,000 under $75,000",2940,3608,3677,2977,123653,16578
75080,"$75,000 under $100,000",2060,3857,4043,3528,130658,19114
75080,"$100,000 under $200,000",3620,12295,12655,10744,392804,68199
75080,"$200,000 or more",1440,10465,9499,16399,466453,118075
,,,,,,,
75081,,17750,16270,16924,19972,746997,126588
75081,"$1 under $25,000",5810,903,890,523,14173,1283
75081,"$25,000 under $50,000",4230,1846,2045,1927,79231,8478
75081,"$50,000 under $75,000",2790,2521,2937,2754,116376,15538
75081,"$75,000 under $100,000",1840,2830,3293,2914,116200,16916
75081,"$100,000 under $200,000",2590,5956,6054,7754,273736,47195
75081,"$200,000 or more",490,2214,1705,4100,147281,37178
,,,,,,,
75082,,10840,29704,23589,33655,955660,198825
75082,"$1 under $25,000",2670,766,530,325,6608,593
75082,"$25,000 under $50,000",1660,1269,1114,740,34714,3886
75082,"$50,000 under $75,000",1380,2158,2004,1497,58356,7998
75082,"$75,000 under $100,000",1100,2686,2123,1651,70449,10233
75082,"$100,000 under $200,000",2590,11665,9657,8828,284508,49568
75082,"$200,000 or more",1440,11160,8161,20614,501025,126547
,,,,,,,
75087,,16110,40326,49167,40241,1158681,227509
75087,"$1 under $25,000",4010,1025,1080,620,10115,933
75087,"$25,000 under $50,000",2470,2277,2798,1877,46179,4825
75087,"$50,000 under $75,000",2010,3803,4777,2698,78807,9811
75087,"$75,000 under $100,000",1950,5533,6746,4055,116483,15244
75087,"$100,000 under $200,000",4350,18799,23708,16228,454690,75790
75087,"$200,000 or more",1320,8889,10058,14763,452407,120906
,,,,,,,
75088,,11860,17871,18752,21780,609559,108289
75088,"$1 under $25,000",3490,643,745,389,8668,786
75088,"$25,000 under $50,000",2600,1764,2076,1492,49159,5200
75088,"$50,000 under $75,000",1750,2555,3066,2151,68783,8607
75088,"$75,000 under $100,000",1310,2455,2974,2387,80189,11008
75088,"$100,000 under $200,000",2190,7359,7446,7679,230437,39136
75088,"$200,000 or more",520,3095,2445,7682,172323,43552
,,,,,,,
75089,,14810,26593,29765,22682,709311,117147
75089,"$1 under $25,000",4510,943,965,529,11035,990
75089,"$25,000 under $50,000",2890,2173,2612,1545,53740,5543
75089,"$50,000 under $75,000",2110,4151,4874,3017,81901,10068
75089,"$75,000 under $100,000",1710,4154,5054,3322,102766,13777
75089,"$100,000 under $200,000",3010,11684,12823,10260,311824,51923
75089,"$200,000 or more",580,3488,3437,4009,148045,34846
,,,,,,,
75090,,9630,3198,4018,4490,216594,31151
75090,"$1 under $25,000",4460,184,273,217,10214,909
75090,"$25,000 under $50,000",2890,461,446,612,46457,4471
75090,"$50,000 under $75,000",1090,461,649,714,41245,4835
75090,"$75,000 under $100,000",550,526,727,716,32805,4263
75090,"$100,000 under $200,000",530,1004,1417,1390,54385,9080
75090,"$200,000 or more",110,562,506,841,31488,7593
,,,,,,,
75092,,11040,9017,9980,14888,446089,78948
75092,"$1 under $25,000",3910,413,433,390,10507,961
75092,"$25,000 under $50,000",2980,866,969,1106,54478,5701
75092,"$50,000 under $75,000",1610,1228,1475,1673,64021,7883
75092,"$75,000 under $100,000",1000,1258,1426,1730,61001,8148
75092,"$100,000 under $200,000",1170,2863,3551,4083,119638,19627
75092,"$200,000 or more",370,2389,2126,5906,136444,36628
,,,,,,,
75093,,23050,99577,74751,87441,3377633,864225
75093,"$1 under $25,000",5430,2192,1489,687,13739,1287
75093,"$25,000 under $50,000",3640,2954,2366,1757,76650,8559
75093,"$50,000 under $75,000",2810,4493,3663,2790,118210,16234
75093,"$75,000 under $100,000",2090,5617,4671,3358,131512,19587
75093,"$100,000 under $200,000",4380,24420,19734,14732,482147,84624
75093,"$200,000 or more",4700,59901,42828,64117,2555375,733934
,,,,,,,
