Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Home mortgage interest paid ,Total charitable contributions,Taxable income,Income tax
,,,,,,,
,,-1,-69,-75,-85,-91,-133
77707,"$75,000 under $100,000",610,788,927,1208,37577,5289
77707,"$100,000 under $200,000",850,2229,2534,3760,86039,14621
77707,"$200,000 or more",200,1431,971,2490,67549,17722
,,,,,,,
77708,,5430,2581,3288,6814,130077,19084
77708,"$1 under $25,000",2550,138,128,257,5405,470
77708,"$25,000 under $50,000",1390,427,678,1166,23393,2289
77708,"$50,000 under $75,000",650,472,608,1365,24872,3148
77708,"$75,000 under $100,000",370,454,626,1180,22539,3170
77708,"$100,000 under $200,000",430,891,1038,2289,43227,7443
77708,"$200,000 or more",40,199,210,557,10641,2564
,,,,,,,
77713,,5820,6556,7492,9116,288798,53061
77713,"$1 under $25,000",1820,169,159,238,4477,410
77713,"$25,000 under $50,000",1320,527,605,755,25085,2647
77713,"$50,000 under $75,000",770,716,808,1116,31034,4081
77713,"$75,000 under $100,000",640,848,1004,1076,40046,5772
77713,"$100,000 under $200,000",1020,2671,3386,3963,106936,18752
77713,"$200,000 or more",250,1625,1530,1968,81220,21399
,,,,,,,
77801,,5240,767,886,1615,82784,11208
77801,"$1 under $25,000",2970,61,0,77,7905,649
77801,"$25,000 under $50,000",1560,139,249,185,26785,2730
77801,"$50,000 under $75,000",390,140,195,231,15209,1827
77801,"$75,000 under $100,000",140,94,112,173,8558,1185
77801,"$100,000 under $200,000",140,198,330,441,14608,2543
77801,"$200,000 or more",40,135,0,508,9719,2274
,,,,,,,
77802,,11330,11819,9940,19649,498125,86945
77802,"$1 under $25,000",3890,397,311,349,11527,1004
77802,"$25,000 under $50,000",2940,1182,1216,1218,58926,6272
77802,"$50,000 under $75,000",1660,1747,1909,2043,67666,8584
77802,"$75,000 under $100,000",1150,1478,1594,2326,71035,9760
77802,"$100,000 under $200,000",1330,3703,3417,5976,139416,23221
77802,"$200,000 or more",360,3312,1493,7737,149555,38104
,,,,,,,
77803,,12090,1852,2694,3190,170197,20346
77803,"$1 under $25,000",6260,181,227,155,13238,1083
77803,"$25,000 under $50,000",4010,476,807,956,58968,5338
77803,"$50,000 under $75,000",1130,398,538,668,40035,4406
77803,"$75,000 under $100,000",420,198,431,503,24926,3303
77803,"$100,000 under $200,000",230,351,471,591,22347,3674
77803,"$200,000 or more",40,248,220,317,10683,2542
,,,,,,,
77807,,4410,4371,3915,7480,187635,38171
77807,"$1 under $25,000",1710,109,121,109,4306,370
77807,"$25,000 under $50,000",1220,308,417,370,21751,2173
77807,"$50,000 under $75,000",600,453,581,484,23833,3010
77807,"$75,000 under $100,000",380,580,749,799,23068,3157
77807,"$100,000 under $200,000",370,904,1006,1161,38577,6506
77807,"$200,000 or more",130,2017,1041,4557,76100,22955
,,,,,,,
77808,,6100,8710,10963,9662,352245,64761
77808,"$1 under $25,000",1840,305,352,145,4449,389
77808,"$25,000 under $50,000",1310,824,927,590,23165,2377
77808,"$50,000 under $75,000",820,913,1276,682,32578,4016
77808,"$75,000 under $100,000",730,1422,1929,1174,43848,5711
77808,"$100,000 under $200,000",1120,3772,4955,3673,117756,19574
77808,"$200,000 or more",280,1474,1524,3398,130449,32694
,,,,,,,
77830,,1320,1049,1504,1130,55250,9025
77830,"$1 under $25,000",480,66,109,0,1051,97
77830,"$25,000 under $50,000",300,88,0,136,5823,596
77830,"$50,000 under $75,000",190,121,174,156,7364,911
77830,"$75,000 under $100,000",130,138,225,82,8147,1045
77830,"$100,000 under $200,000",180,359,659,336,17722,2806
77830,"$200,000 or more",40,277,337,420,15143,3570
,,,,,,,
77831,,1260,589,1157,825,38638,6111
77831,"$1 under $25,000",520,0,0,0,1056,100
77831,"$25,000 under $50,000",330,147,279,190,5546,576
77831,"$50,000 under $75,000",180,103,213,253,6867,802
77831,"$75,000 under $100,000",90,61,167,0,5507,688
77831,"$100,000 under $200,000",100,278,498,228,9918,1631
77831,"$200,000 or more",40,0,0,154,9744,2314
,,,,,,,
77833,,11750,10934,11584,16140,450984,76264
77833,"$1 under $25,000",4590,694,602,538,10598,945
77833,"$25,000 under $50,000",2900,1287,1365,1583,50457,5110
77833,"$50,000 under $75,000",1590,1435,1629,1573,62046,7344
77833,"$75,000 under $100,000",1080,1666,1983,1599,65376,8351
77833,"$100,000 under $200,000",1210,3283,3967,4255,124347,20090
77833,"$200,000 or more",380,2569,2038,6592,138160,34424
,,,,,,,
77835,,1180,1152,1321,1293,50698,8607
77835,"$1 under $25,000",400,0,146,0,866,80
77835,"$25,000 under $50,000",310,172,0,154,5702,595
77835,"$50,000 under $75,000",150,116,152,143,5926,744
77835,"$75,000 under $100,000",120,166,262,174,7314,931
77835,"$100,000 under $200,000",150,466,482,480,15875,2608
77835,"$200,000 or more",50,232,279,342,15015,3649
,,,,,,,
77836,,5040,2211,3412,3709,169990,27161
77836,"$1 under $25,000",1970,137,159,158,4200,396
77836,"$25,000 under $50,000",1250,258,407,435,21600,2199
77836,"$50,000 under $75,000",700,271,427,387,27293,3235
77836,"$75,000 under $100,000",480,425,778,529,28804,3675
77836,"$100,000 under $200,000",550,735,1237,1360,56454,9159
77836,"$200,000 or more",90,385,404,840,31639,8497
,,,,,,,
77837,,640,80,0,254,11859,1550
77837,"$1 under $25,000",340,0,0,98,659,59
77837,"$25,000 under $50,000",180,0,0,0,2778,255
77837,"$50,000 under $75,000",60,80,0,156,2404,283
77837,"$75,000 under $100,000",30,0,0,0,1536,200
77837,"$100,000 under $200,000",30,0,0,0,4482,753
77837,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77840,,12380,4207,3252,7414,277464,45094
77840,"$1 under $25,000",7350,173,206,162,22245,1815
77840,"$25,000 under $50,000",2920,354,329,592,56163,5918
77840,"$50,000 under $75,000",930,403,305,547,38173,4924
77840,"$75,000 under $100,000",420,406,388,641,26566,3799
77840,"$100,000 under $200,000",520,1293,970,1841,56073,9735
77840,"$200,000 or more",240,1578,1054,3631,78244,18903
,,,,,,,
77845,,24750,55677,54757,60176,1837039,371013
77845,"$1 under $25,000",7670,940,899,526,21328,1822
77845,"$25,000 under $50,000",4330,3061,3292,1807,82067,8398
77845,"$50,000 under $75,000",3060,4919,5491,3288,120805,14565
77845,"$75,000 under $100,000",2590,6186,6833,4413,156195,19911
77845,"$100,000 under $200,000",4800,20126,21222,16997,507145,83820
77845,"$200,000 or more",2300,20445,17020,33145,949499,242497
,,,,,,,
77853,,470,191,228,245,13925,2000
77853,"$1 under $25,000",170,0,0,0,307,29
77853,"$25,000 under $50,000",130,88,0,104,2195,224
77853,"$50,000 under $75,000",80,0,0,0,3285,412
77853,"$75,000 under $100,000",50,103,228,141,2727,331
77853,"$100,000 under $200,000",40,0,0,0,5411,1004
77853,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77856,,2000,1199,2089,1647,73111,11029
77856,"$1 under $25,000",770,75,0,106,1520,142
77856,"$25,000 under $50,000",430,132,400,176,7039,681
77856,"$50,000 under $75,000",260,127,194,182,10222,1192
77856,"$75,000 under $100,000",210,234,398,280,12900,1629
77856,"$100,000 under $200,000",280,472,916,682,28706,4538
77856,"$200,000 or more",50,159,181,221,12724,2847
,,,,,,,
77857,,400,160,261,316,12720,1809
77857,"$1 under $25,000",160,0,0,0,384,36
77857,"$25,000 under $50,000",90,0,0,159,1522,147
77857,"$50,000 under $75,000",30,78,0,0,1257,158
77857,"$75,000 under $100,000",50,0,261,0,2542,313
77857,"$100,000 under $200,000",70,82,0,157,7015,1155
77857,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77859,,3080,983,1446,2123,74034,11008
77859,"$1 under $25,000",1410,67,0,95,2910,256
77859,"$25,000 under $50,000",880,123,304,473,13739,1346
77859,"$50,000 under $75,000",370,178,292,232,14149,1710
77859,"$75,000 under $100,000",200,133,265,325,12136,1654
77859,"$100,000 under $200,000",180,361,585,621,19043,3128
77859,"$200,000 or more",40,121,0,377,12057,2914
,,,,,,,
77861,,1190,1295,1775,1352,54694,9161
77861,"$1 under $25,000",400,0,132,111,941,89
77861,"$25,000 under $50,000",260,116,0,0,4711,502
77861,"$50,000 under $75,000",150,134,168,154,5739,675
77861,"$75,000 under $100,000",130,173,293,210,7470,923
77861,"$100,000 under $200,000",190,537,732,510,21109,3520
77861,"$200,000 or more",60,335,450,367,14724,3452
,,,,,,,
77864,,3300,1235,1735,2723,82316,12474
77864,"$1 under $25,000",1550,78,0,104,3311,276
77864,"$25,000 under $50,000",880,199,434,341,13653,1236
77864,"$50,000 under $75,000",390,239,327,511,14434,1729
77864,"$75,000 under $100,000",200,136,242,311,11364,1362
77864,"$100,000 under $200,000",220,335,732,635,22672,3678
77864,"$200,000 or more",60,248,0,821,16882,4193
,,,,,,,
77865,,710,243,387,536,23791,3452
77865,"$1 under $25,000",240,50,0,0,364,34
77865,"$25,000 under $50,000",190,0,0,127,3211,318
77865,"$50,000 under $75,000",110,79,195,166,4138,472
77865,"$75,000 under $100,000",70,0,0,0,4249,571
77865,"$100,000 under $200,000",100,114,192,243,11829,2057
77865,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77868,,5780,2712,4030,4680,168040,27559
77868,"$1 under $25,000",2490,232,280,296,5033,422
77868,"$25,000 under $50,000",1690,428,750,855,28242,2728
77868,"$50,000 under $75,000",730,399,633,563,27552,3198
77868,"$75,000 under $100,000",350,353,575,573,20709,2733
77868,"$100,000 under $200,000",410,896,1363,1078,41688,6789
77868,"$200,000 or more",110,404,429,1315,44816,11689
,,,,,,,
77871,,1580,972,1406,1620,57952,8929
77871,"$1 under $25,000",600,82,119,128,1044,105
77871,"$25,000 under $50,000",320,140,164,274,5228,582
77871,"$50,000 under $75,000",220,107,228,175,8588,1049
77871,"$75,000 under $100,000",190,192,254,295,11511,1511
77871,"$100,000 under $200,000",210,295,641,518,22225,3618
77871,"$200,000 or more",40,156,0,230,9356,2064
,,,,,,,
77872,,800,468,595,583,27520,4274
77872,"$1 under $25,000",270,0,0,0,441,42
77872,"$25,000 under $50,000",220,76,0,120,3632,358
77872,"$50,000 under $75,000",130,73,308,0,5093,633
77872,"$75,000 under $100,000",70,71,0,100,4259,544
77872,"$100,000 under $200,000",110,248,287,363,14095,2697
77872,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77873,,570,306,581,311,21642,3457
77873,"$1 under $25,000",220,0,0,0,492,46
77873,"$25,000 under $50,000",120,109,171,68,2241,237
77873,"$50,000 under $75,000",80,0,0,0,2988,356
77873,"$75,000 under $100,000",60,68,144,85,3801,514
77873,"$100,000 under $200,000",90,129,266,158,12120,2304
77873,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77879,,2000,692,1070,1361,56581,8764
77879,"$1 under $25,000",850,0,0,0,1866,173
77879,"$25,000 under $50,000",540,97,194,274,9545,989
77879,"$50,000 under $75,000",280,119,225,185,11223,1395
77879,"$75,000 under $100,000",150,127,193,131,9448,1240
77879,"$100,000 under $200,000",150,349,458,771,14691,2385
77879,"$200,000 or more",30,0,0,0,9808,2582
,,,,,,,
77880,,790,698,956,922,33819,6280
77880,"$1 under $25,000",320,0,99,0,696,62
77880,"$25,000 under $50,000",220,95,0,193,3597,344
77880,"$50,000 under $75,000",90,62,258,239,3312,386
77880,"$75,000 under $100,000",50,82,0,0,3190,419
77880,"$100,000 under $200,000",80,251,599,248,8999,1425
77880,"$200,000 or more",30,208,0,242,14025,3644
,,,,,,,
77901,,16840,5266,5699,7228,383340,57071
77901,"$1 under $25,000",8160,324,295,360,19322,1716
77901,"$25,000 under $50,000",4670,722,960,909,83283,8507
77901,"$50,000 under $75,000",1950,841,1068,1214,75783,9299
77901,"$75,000 under $100,000",1030,868,1085,909,63367,8906
77901,"$100,000 under $200,000",890,1617,1737,1949,89538,14999
77901,"$200,000 or more",140,894,554,1887,52047,13644
,,,,,,,
77904,,12310,16512,15038,16972,678320,128777
77904,"$1 under $25,000",3870,638,443,361,9718,873
77904,"$25,000 under $50,000",2580,1243,1172,1104,48519,5063
77904,"$50,000 under $75,000",1700,1923,1828,1460,68215,8522
77904,"$75,000 under $100,000",1310,2042,2164,1703,81278,10985
77904,"$100,000 under $200,000",2250,6636,6767,5798,240105,40594
77904,"$200,000 or more",600,4030,2664,6546,230485,62740
,,,,,,,
77905,,6450,4924,6102,4914,269496,45226
77905,"$1 under $25,000",2200,303,275,199,5052,471
77905,"$25,000 under $50,000",1490,405,529,443,26705,2764
77905,"$50,000 under $75,000",890,613,837,511,35413,4320
77905,"$75,000 under $100,000",720,761,955,683,44651,5929
77905,"$100,000 under $200,000",980,2062,2700,1769,101436,16855
77905,"$200,000 or more",170,780,806,1309,56239,14887
,,,,,,,
77954,,4180,2051,2422,5213,220987,50341
77954,"$1 under $25,000",1680,57,0,67,3696,351
77954,"$25,000 under $50,000",1040,255,449,234,17900,1811
77954,"$50,000 under $75,000",540,266,334,358,21563,2663
77954,"$75,000 under $100,000",340,231,381,389,20785,2702
77954,"$100,000 under $200,000",400,640,832,1019,43631,7320
77954,"$200,000 or more",180,602,426,3146,113412,35494
,,,,,,,
77957,,3570,1467,1740,2560,125677,20321
77957,"$1 under $25,000",1390,66,0,106,2758,252
77957,"$25,000 under $50,000",900,181,190,321,16162,1625
77957,"$50,000 under $75,000",490,163,294,393,18989,2251
77957,"$75,000 under $100,000",330,207,304,477,19632,2478
77957,"$100,000 under $200,000",390,529,735,907,39330,6232
77957,"$200,000 or more",70,321,217,356,28806,7483
,,,,,,,
77962,,1530,502,789,838,55457,8276
77962,"$1 under $25,000",500,0,0,0,1097,104
77962,"$25,000 under $50,000",430,75,0,155,7266,708
77962,"$50,000 under $75,000",240,60,236,240,9169,1051
77962,"$75,000 under $100,000",160,86,0,0,10192,1347
77962,"$100,000 under $200,000",170,281,553,443,17445,2778
77962,"$200,000 or more",30,0,0,0,10288,2288
,,,,,,,
77963,,2340,948,1516,1635,90753,15092
77963,"$1 under $25,000",890,36,0,43,1759,162
77963,"$25,000 under $50,000",530,129,205,192,9189,921
77963,"$50,000 under $75,000",330,106,295,139,13314,1645
77963,"$75,000 under $100,000",220,134,206,291,13834,1823
77963,"$100,000 under $200,000",310,344,810,443,32920,5524
77963,"$200,000 or more",60,199,0,527,19737,5017
,,,,,,,
77964,,3570,1465,2127,1991,148067,25007
77964,"$1 under $25,000",1320,108,0,87,3026,286
77964,"$25,000 under $50,000",800,145,306,146,14730,1539
77964,"$50,000 under $75,000",510,203,270,205,20579,2513
77964,"$75,000 under $100,000",380,217,243,251,23186,2911
77964,"$100,000 under $200,000",450,491,973,659,46984,7470
77964,"$200,000 or more",110,301,335,643,39562,10288
,,,,,,,
77968,,1320,1701,2316,1568,70373,12059
77968,"$1 under $25,000",390,0,0,0,847,71
77968,"$25,000 under $50,000",260,112,158,111,4686,485
77968,"$50,000 under $75,000",170,147,177,58,6680,808
77968,"$75,000 under $100,000",150,255,320,208,8988,1085
77968,"$100,000 under $200,000",290,764,1162,724,31033,5160
77968,"$200,000 or more",60,423,499,467,18139,4450
,,,,,,,
77971,,410,73,160,137,14869,2145
77971,"$1 under $25,000",130,0,0,0,341,32
77971,"$25,000 under $50,000",110,0,0,137,1941,187
77971,"$50,000 under $75,000",70,73,160,0,2683,296
77971,"$75,000 under $100,000",50,0,0,0,3068,405
77971,"$100,000 under $200,000",50,0,0,0,6836,1225
77971,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77974,,220,59,0,108,10044,1641
77974,"$1 under $25,000",70,0,0,0,183,19
77974,"$25,000 under $50,000",50,0,0,108,873,93
77974,"$50,000 under $75,000",30,59,0,0,1301,162
77974,"$75,000 under $100,000",30,0,0,0,1632,219
77974,"$100,000 under $200,000",40,0,0,0,6055,1148
77974,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77975,,820,299,458,280,28278,4319
77975,"$1 under $25,000",300,72,0,35,548,55
77975,"$25,000 under $50,000",220,0,0,0,3758,397
77975,"$50,000 under $75,000",110,73,179,72,4397,516
77975,"$75,000 under $100,000",90,0,0,0,5692,704
77975,"$100,000 under $200,000",100,154,279,173,13883,2647
77975,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77979,,7420,2597,3008,4103,268533,45709
77979,"$1 under $25,000",2850,110,0,143,6143,572
77979,"$25,000 under $50,000",1860,172,289,478,32300,3291
77979,"$50,000 under $75,000",1060,375,396,577,41445,5143
77979,"$75,000 under $100,000",630,341,544,467,39470,5541
77979,"$100,000 under $200,000",880,1077,1389,1447,93700,15825
77979,"$200,000 or more",140,522,390,991,55475,15337
,,,,,,,
77983,,850,190,304,204,26017,3992
77983,"$1 under $25,000",370,0,0,71,649,63
77983,"$25,000 under $50,000",190,0,0,0,3290,339
77983,"$50,000 under $75,000",120,87,151,0,4661,579
77983,"$75,000 under $100,000",70,0,0,133,4435,605
77983,"$100,000 under $200,000",100,103,153,0,12982,2406
77983,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77984,,2000,1052,1665,2074,97278,17577
77984,"$1 under $25,000",680,27,114,34,1768,165
77984,"$25,000 under $50,000",450,84,0,128,8499,904
77984,"$50,000 under $75,000",270,131,222,173,10793,1323
77984,"$75,000 under $100,000",200,109,196,198,12300,1530
77984,"$100,000 under $200,000",300,445,828,742,31540,5161
77984,"$200,000 or more",100,256,305,799,32378,8494
,,,,,,,
77990,,280,59,0,53,8216,1111
77990,"$1 under $25,000",100,0,0,0,259,24
77990,"$25,000 under $50,000",70,0,0,53,1017,91
77990,"$50,000 under $75,000",50,59,0,0,1729,218
77990,"$75,000 under $100,000",30,0,0,0,1697,212
77990,"$100,000 under $200,000",30,0,0,0,3514,566
77990,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77994,,170,0,0,0,26703,8192
77994,"$1 under $25,000",60,0,0,0,113,0
77994,"$25,000 under $50,000",50,0,0,0,1427,180
77994,"$50,000 under $75,000",0,0,0,0,0,0
77994,"$75,000 under $100,000",30,0,0,0,2547,423
77994,"$100,000 under $200,000",0,0,0,0,0,0
77994,"$200,000 or more",30,0,0,0,22616,7589
,,,,,,,
77995,,4000,1465,1911,2429,144435,24844
77995,"$1 under $25,000",1610,110,0,90,3550,332
77995,"$25,000 under $50,000",1050,143,274,189,17627,1768
77995,"$50,000 under $75,000",480,200,327,225,18847,2279
77995,"$75,000 under $100,000",350,186,292,288,21311,2755
77995,"$100,000 under $200,000",410,564,724,878,42930,7081
77995,"$200,000 or more",100,262,294,759,40170,10629
,,,,,,,
78002,,3270,1025,1512,1140,70108,9811
78002,"$1 under $25,000",1600,104,130,0,3257,291
78002,"$25,000 under $50,000",900,166,301,310,14090,1355
78002,"$50,000 under $75,000",380,177,239,230,14051,1620
78002,"$75,000 under $100,000",200,221,275,238,11941,1554
78002,"$100,000 under $200,000",170,357,567,362,16542,2619
78002,"$200,000 or more",20,0,0,0,10227,2372
,,,,,,,
78003,,4320,4570,5886,4057,158435,26513
78003,"$1 under $25,000",1670,280,240,102,3373,319
78003,"$25,000 under $50,000",1070,573,786,391,18833,2041
78003,"$50,000 under $75,000",600,690,728,399,23796,2949
78003,"$75,000 under $100,000",400,669,987,483,24684,3310
78003,"$100,000 under $200,000",480,1622,2173,1324,48979,8100
78003,"$200,000 or more",100,736,972,1358,38770,9794
,,,,,,,
78004,,300,577,844,573,20408,3914
78004,"$1 under $25,000",80,0,0,0,104,10
78004,"$25,000 under $50,000",50,130,196,51,950,103
78004,"$50,000 under $75,000",30,0,0,0,1082,149
78004,"$75,000 under $100,000",30,0,0,0,1638,197
78004,"$100,000 under $200,000",80,447,648,522,8921,1506
78004,"$200,000 or more",30,0,0,0,7713,1949
,,,,,,,
78005,,340,141,256,122,10729,1588
78005,"$1 under $25,000",130,44,0,0,262,27
78005,"$25,000 under $50,000",80,0,0,0,1408,146
78005,"$50,000 under $75,000",60,0,0,122,2183,238
78005,"$75,000 under $100,000",30,97,256,0,1881,259
78005,"$100,000 under $200,000",40,0,0,0,4995,918
78005,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
78006,,16790,50513,55989,54870,1717970,398312
78006,"$1 under $25,000",4820,1432,1257,652,12210,1237
78006,"$25,000 under $50,000",2870,2306,2300,1466,53173,5680
78006,"$50,000 under $75,000",2000,3658,4348,2183,77992,9662
78006,"$75,000 under $100,000",1640,4293,5448,3290,98025,12824
78006,"$100,000 under $200,000",3410,16169,20113,12964,358855,59302
78006,"$200,000 or more",2050,22655,22523,34315,1117715,309607
,,,,,,,
78008,,110,0,0,0,7448,1666
78008,"$1 under $25,000",40,0,0,0,0,0
78008,"$25,000 under $50,000",30,0,0,0,635,67
78008,"$50,000 under $75,000",20,0,0,0,1300,199
78008,"$75,000 under $100,000",0,0,0,0,0,0
78008,"$100,000 under $200,000",20,0,0,0,5513,1400
78008,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
78009,,3890,4677,6128,3442,171831,28751
78009,"$1 under $25,000",1310,131,139,85,3001,281
78009,"$25,000 under $50,000",870,315,414,230,15562,1562
78009,"$50,000 under $75,000",530,661,822,382,20480,2497
78009,"$75,000 under $100,000",420,679,1096,443,25043,3273
78009,"$100,000 under $200,000",610,2126,2816,1455,64107,10506
78009,"$200,000 or more",150,765,841,847,43638,10632
,,,,,,,
78010,,1410,954,1118,945,53692,9185
78010,"$1 under $25,000",590,60,0,78,1201,111
78010,"$25,000 under $50,000",360,67,263,0,5927,605
78010,"$50,000 under $75,000",180,108,0,71,7093,849
78010,"$75,000 under $100,000",100,108,139,197,6339,880
78010,"$100,000 under $200,000",140,288,716,286,14899,2424
78010,"$200,000 or more",40,323,0,313,18233,4316
,,,,,,,
78011,,830,139,250,668,26593,4657
78011,"$1 under $25,000",330,0,0,0,684,64
78011,"$25,000 under $50,000",240,64,0,82,4032,417
78011,"$50,000 under $75,000",120,0,0,0,4691,541
78011,"$75,000 under $100,000",70,0,250,586,4279,558
78011,"$100,000 under $200,000",70,75,0,0,12907,3077
78011,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
78012,,180,0,0,0,4663,623
78012,"$1 under $25,000",80,0,0,0,187,18
78012,"$25,000 under $50,000",40,0,0,0,663,65
78012,"$50,000 under $75,000",30,0,0,0,1171,151
78012,"$75,000 under $100,000",30,0,0,0,2642,389
78012,"$100,000 under $200,000",0,0,0,0,0,0
78012,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
78013,,2700,2696,3696,3253,153106,30175
78013,"$1 under $25,000",1030,132,154,112,2403,226
78013,"$25,000 under $50,000",670,183,222,163,11703,1215
78013,"$50,000 under $75,000",340,230,408,242,13167,1572
78013,"$75,000 under $100,000",210,275,387,230,12963,1685
78013,"$100,000 under $200,000",310,875,1184,1021,32354,5471
78013,"$200,000 or more",140,1001,1341,1485,80516,20006
,,,,,,,
78014,,1980,616,779,2784,80823,19899
78014,"$1 under $25,000",940,0,0,55,1757,161
78014,"$25,000 under $50,000",520,133,179,320,7653,732
78014,"$50,000 under $75,000",230,78,134,324,7680,890
78014,"$75,000 under $100,000",120,55,115,273,6312,922
78014,"$100,000 under $200,000",110,74,351,407,11099,1867
78014,"$200,000 or more",60,276,0,1405,46322,15327
,,,,,,,
78015,,7360,33584,36611,24722,881667,194573
78015,"$1 under $25,000",1570,680,471,175,3623,331
78015,"$25,000 under $50,000",780,1092,1162,443,14616,1565
78015,"$50,000 under $75,000",710,1827,1962,974,27236,3405
78015,"$75,000 under $100,000",700,2898,3212,1386,41408,5509
78015,"$100,000 under $200,000",2180,13246,15079,7732,236055,39875
78015,"$200,000 or more",1420,13841,14725,14012,558729,143888
,,,,,,,
78016,,4240,2246,3089,2315,132364,20889
78016,"$1 under $25,000",1650,113,162,124,3776,357
78016,"$25,000 under $50,000",1180,362,476,379,20400,1993
78016,"$50,000 under $75,000",580,291,432,308,21945,2553
78016,"$75,000 under $100,000",350,358,543,328,20995,2726
78016,"$100,000 under $200,000",410,905,1295,861,40995,6641
78016,"$200,000 or more",70,217,181,315,24253,6619
,,,,,,,
78017,,1620,409,451,1516,36034,5565
78017,"$1 under $25,000",750,0,0,0,1278,118
78017,"$25,000 under $50,000",450,109,208,282,6647,626
78017,"$50,000 under $75,000",220,84,0,413,7291,840
78017,"$75,000 under $100,000",100,98,243,307,5543,733
78017,"$100,000 under $200,000",80,118,0,514,7229,1151
78017,"$200,000 or more",20,0,0,0,8046,2097
,,,,,,,
78022,,2110,629,1315,1335,89106,16358
78022,"$1 under $25,000",840,0,0,0,1727,170
78022,"$25,000 under $50,000",500,108,211,179,8928,930
78022,"$50,000 under $75,000",260,76,188,86,10251,1207
78022,"$75,000 under $100,000",180,85,193,157,10644,1378
78022,"$100,000 under $200,000",260,194,482,417,26761,4568
78022,"$200,000 or more",70,166,241,496,30795,8105
,,,,,,,
78023,,13280,46168,48459,26670,978404,189707
78023,"$1 under $25,000",3430,1134,1014,272,9267,843
78023,"$25,000 under $50,000",1820,2106,2104,930,34789,3714
78023,"$50,000 under $75,000",1590,4235,4382,1850,62033,7750
78023,"$75,000 under $100,000",1460,5328,5772,2489,86455,11319
78023,"$100,000 under $200,000",3700,21047,23312,11243,390625,65031
78023,"$200,000 or more",1280,12318,11875,9886,395235,101050
,,,,,,,
78024,,720,1494,958,1523,56674,13167
78024,"$1 under $25,000",230,180,204,39,617,59
78024,"$25,000 under $50,000",150,215,0,277,2391,239
78024,"$50,000 under $75,000",90,0,201,0,3364,436
78024,"$75,000 under $100,000",70,158,0,159,4413,605
78024,"$100,000 under $200,000",130,472,553,500,13585,2213
78024,"$200,000 or more",50,469,0,548,32304,9615
,,,,,,,
78025,,2370,1830,1789,2410,70749,11332
78025,"$1 under $25,000",1040,122,0,86,2126,202
78025,"$25,000 under $50,000",640,267,299,289,10730,1116
78025,"$50,000 under $75,000",290,199,325,252,11345,1369
78025,"$75,000 under $100,000",160,207,247,263,9704,1288
78025,"$100,000 under $200,000",190,598,616,499,19520,3305
78025,"$200,000 or more",50,437,302,1021,17324,4052
,,,,,,,
78026,,2500,1067,1589,1585,101701,18135
78026,"$1 under $25,000",940,46,0,47,1949,186
78026,"$25,000 under $50,000",650,138,256,122,11372,1137
78026,"$50,000 under $75,000",340,108,201,153,13399,1574
78026,"$75,000 under $100,000",230,137,295,186,14226,1815
78026,"$100,000 under $200,000",260,429,837,490,26191,4221
78026,"$200,000 or more",80,209,0,587,34564,9202
,,,,,,,
78027,,220,271,381,276,14437,2887
78027,"$1 under $25,000",60,0,0,0,120,0
78027,"$25,000 under $50,000",50,85,0,66,857,99
78027,"$50,000 under $75,000",30,0,0,0,1334,180
78027,"$75,000 under $100,000",30,0,0,0,1775,251
78027,"$100,000 under $200,000",30,186,381,210,3241,541
78027,"$200,000 or more",20,0,0,0,7110,1816
,,,,,,,
78028,,17400,19939,18266,25749,728813,130258
78028,"$1 under $25,000",6650,1226,981,880,16876,1566
78028,"$25,000 under $50,000",4430,2075,2235,2051,78253,8240
78028,"$50,000 under $75,000",2290,2289,2420,2365,91091,11179
78028,"$75,000 under $100,000",1470,2536,2602,2641,89956,11808
78028,"$100,000 under $200,000",1910,6662,6289,7431,200145,32548
78028,"$200,000 or more",650,5151,3739,10381,252492,64917
,,,,,,,
78039,,830,321,434,308,27950,4283
78039,"$1 under $25,000",300,0,0,0,749,68
78039,"$25,000 under $50,000",230,0,0,0,4498,480
78039,"$50,000 under $75,000",130,148,211,141,5010,610
78039,"$75,000 under $100,000",70,0,0,0,4168,566
78039,"$100,000 under $200,000",100,173,223,167,13525,2559
78039,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
78040,,15940,2064,2136,1766,170930,24012
78040,"$1 under $25,000",10840,101,165,122,16225,1355
78040,"$25,000 under $50,000",3640,351,357,440,50734,4660
78040,"$50,000 under $75,000",910,483,554,370,33410,3976
