Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-40,-44,-46,-48,-66
75054,"$200,000 or more",250,1716,2750,2056,68441,16300
,,,,,,,
75056,,24920,48489,71374,36093,1367823,259124
75056,"$1 under $25,000",7340,1276,1912,524,21404,1869
75056,"$25,000 under $50,000",5990,3254,5874,2300,119346,12718
75056,"$50,000 under $75,000",3530,4774,8327,3166,143614,18751
75056,"$75,000 under $100,000",2490,5994,9456,4096,153715,21449
75056,"$100,000 under $200,000",4040,18032,26282,12762,427026,74714
75056,"$200,000 or more",1530,15159,19523,13245,502718,129623
,,,,,,,
75057,,6180,1638,3072,2631,135309,19878
75057,"$1 under $25,000",2810,107,234,111,6875,579
75057,"$25,000 under $50,000",1990,274,541,409,35666,3743
75057,"$50,000 under $75,000",730,350,677,611,30188,4038
75057,"$75,000 under $100,000",330,259,529,419,20930,3114
75057,"$100,000 under $200,000",280,479,828,685,29026,5206
75057,"$200,000 or more",40,169,263,396,12624,3198
,,,,,,,
75058,,1250,2127,3546,1934,60004,10469
75058,"$1 under $25,000",440,88,0,0,1198,110
75058,"$25,000 under $50,000",240,140,400,184,3811,363
75058,"$50,000 under $75,000",160,259,446,151,5983,682
75058,"$75,000 under $100,000",130,309,568,283,7644,932
75058,"$100,000 under $200,000",220,942,1656,750,21059,3398
75058,"$200,000 or more",60,389,476,566,20309,4984
,,,,,,,
75060,,20260,8240,14908,10334,405654,53885
75060,"$1 under $25,000",9470,618,1246,509,21156,1687
75060,"$25,000 under $50,000",6110,1828,3670,2040,97400,8787
75060,"$50,000 under $75,000",2470,1807,3507,2327,94166,11153
75060,"$75,000 under $100,000",1170,1617,2991,1769,71302,9641
75060,"$100,000 under $200,000",940,2006,3039,3027,92278,15533
75060,"$200,000 or more",100,364,455,662,29352,7084
,,,,,,,
75061,,23130,7459,12261,11476,435076,62002
75061,"$1 under $25,000",11780,468,831,568,26607,2058
75061,"$25,000 under $50,000",7100,1475,2877,1921,110945,10067
75061,"$50,000 under $75,000",2250,1612,3223,1968,86102,10410
75061,"$75,000 under $100,000",910,1133,1981,1827,55392,7685
75061,"$100,000 under $200,000",950,1931,2866,3343,97689,17008
75061,"$200,000 or more",140,840,483,1849,58341,14774
,,,,,,,
75062,,21800,12077,17516,15988,659585,118325
75062,"$1 under $25,000",10060,740,1328,642,25120,1956
75062,"$25,000 under $50,000",6450,1719,3255,2122,112546,10824
75062,"$50,000 under $75,000",2500,1756,3202,2070,99971,12625
75062,"$75,000 under $100,000",1180,1435,2373,1818,74478,10496
75062,"$100,000 under $200,000",1230,3383,4672,4400,128962,22844
75062,"$200,000 or more",380,3044,2686,4936,218508,59580
,,,,,,,
75063,,17710,33069,42123,25569,1300655,269564
75063,"$1 under $25,000",4040,726,942,283,12676,1057
75063,"$25,000 under $50,000",3980,1499,2004,1294,88414,9895
