Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
75039,,9160,16475,18223,12251,931966,211433
75039,"$1 under $25,000",1390,121,176,104,5435,469
75039,"$25,000 under $50,000",1970,428,447,765,48398,5772
75039,"$50,000 under $75,000",1790,531,724,927,82340,12406
75039,"$75,000 under $100,000",1200,1053,1452,1036,81508,13462
75039,"$100,000 under $200,000",1840,5502,6662,3439,203622,37705
75039,"$200,000 or more",970,8840,8762,5980,510663,141619
,,,,,,,
75040,,28160,12050,18763,17065,671205,93808
75040,"$1 under $25,000",12350,808,1362,643,28866,2441
75040,"$25,000 under $50,000",8070,2226,3984,2620,131921,12557
75040,"$50,000 under $75,000",3640,2581,4262,3408,139035,16508
75040,"$75,000 under $100,000",1930,2234,3407,3067,118868,16099
75040,"$100,000 under $200,000",1960,3561,4922,5876,198495,33488
75040,"$200,000 or more",210,640,826,1451,54020,12715
,,,,,,,
75041,,13490,3586,5243,6505,246391,32970
75041,"$1 under $25,000",6590,257,388,340,13396,1120
75041,"$25,000 under $50,000",4150,764,1274,1039,61440,5568
75041,"$50,000 under $75,000",1510,788,1270,1106,56930,6727
75041,"$75,000 under $100,000",630,551,821,1343,38663,5236
75041,"$100,000 under $200,000",540,938,1200,1928,54419,9144
75041,"$200,000 or more",70,288,290,749,21543,5175
,,,,,,,
75042,,17050,3512,5647,5325,282840,37604
75042,"$1 under $25,000",8840,266,508,291,19288,1609
75042,"$25,000 under $50,000",5110,1010,1941,1075,76709,7078
75042,"$50,000 under $75,000",1770,915,1538,1447,66362,7791
75042,"$75,000 under $100,000",740,444,755,767,45331,6187
75042,"$100,000 under $200,000",530,640,905,1167,52558,8925
75042,"$200,000 or more",60,237,0,578,22592,6014
,,,,,,,
75043,,28060,17140,25654,26206,823307,125942
75043,"$1 under $25,000",11240,944,1677,962,27028,2290
75043,"$25,000 under $50,000",8060,2546,4419,3567,142669,14036
75043,"$50,000 under $75,000",3800,3056,4802,4421,147768,18152
75043,"$75,000 under $100,000",2180,3067,4785,4635,132157,17655
75043,"$100,000 under $200,000",2390,5924,8202,9007,243253,40723
75043,"$200,000 or more",390,1603,1769,3614,130432,33086
,,,,,,,
75044,,20650,23494,27414,26686,930519,169450
75044,"$1 under $25,000",7300,964,1255,416,18830,1675
75044,"$25,000 under $50,000",5120,2029,2971,1781,96400,9991
75044,"$50,000 under $75,000",2920,2874,3914,2614,118323,15168
75044,"$75,000 under $100,000",1800,3054,3846,3058,112597,15906
75044,"$100,000 under $200,000",2600,8765,9701,9024,282219,49060
75044,"$200,000 or more",910,5808,5727,9793,302150,77650
,,,,,,,
75048,,10500,21124,27837,17824,558374,95094
75048,"$1 under $25,000",2950,666,878,320,7525,662
75048,"$25,000 under $50,000",1970,1711,2226,1012,37118,3868
75048,"$50,000 under $75,000",1420,2589,3717,1631,55914,6824
75048,"$75,000 under $100,000",1260,3426,4699,2509,76143,10023
75048,"$100,000 under $200,000",2400,9723,12702,7878,252232,42630
75048,"$200,000 or more",500,3009,3615,4474,129442,31087
,,,,,,,
75050,,19060,6681,8663,14288,460946,69729
75050,"$1 under $25,000",8180,418,492,696,19871,1593
75050,"$25,000 under $50,000",6110,945,1518,3052,103483,10007
75050,"$50,000 under $75,000",2420,1309,1826,2592,94855,11979
75050,"$75,000 under $100,000",1100,1071,1544,1839,69226,10016
75050,"$100,000 under $200,000",1060,2188,2602,3796,109763,18997
75050,"$200,000 or more",190,750,681,2313,63748,17137
,,,,,,,
75051,,16650,3856,6249,7860,256758,31790
75051,"$1 under $25,000",8370,282,458,701,17434,1362
75051,"$25,000 under $50,000",5350,1029,1973,2766,81768,7323
75051,"$50,000 under $75,000",1850,1167,2070,2027,66723,7425
75051,"$75,000 under $100,000",690,571,965,881,41661,5439
75051,"$100,000 under $200,000",350,807,783,1224,33797,5621
75051,"$200,000 or more",40,0,0,261,15375,4620
,,,,,,,
75052,,41990,38053,56144,49814,1326187,196777
75052,"$1 under $25,000",15270,1863,2996,1518,37131,3002
75052,"$25,000 under $50,000",11140,5665,9325,7518,193922,18392
75052,"$50,000 under $75,000",6480,7972,12401,9417,249045,29943
75052,"$75,000 under $100,000",3920,7504,11079,8902,233383,31148
75052,"$100,000 under $200,000",4630,12891,17735,17826,463567,77301
75052,"$200,000 or more",550,2158,2608,4633,149139,36991
,,,,,,,
75054,,4730,16797,21865,12465,317704,56887
75054,"$1 under $25,000",1000,353,471,153,2350,197
75054,"$25,000 under $50,000",640,814,1007,590,11725,1179
75054,"$50,000 under $75,000",610,1912,2363,1259,22679,2733
75054,"$75,000 under $100,000",600,2611,3489,1569,34157,4510
75054,"$100,000 under $200,000",1520,8519,11259,6347,155880,26510
75054,"$200,000 or more",360,2588,3276,2547,90913,21758
,,,,,,,
75056,,26940,54360,63050,41596,1609118,317022
75056,"$1 under $25,000",7650,1062,1233,520,21185,1828
75056,"$25,000 under $50,000",6250,2961,4207,2295,126532,13608
75056,"$50,000 under $75,000",3980,4794,6235,3358,163436,21514
75056,"$75,000 under $100,000",2720,5769,7331,4154,169686,24070
75056,"$100,000 under $200,000",4410,20558,24426,13617,469647,81147
75056,"$200,000 or more",1930,19216,19618,17652,658632,174855
,,,,,,,
75057,,6760,1617,2421,2887,168237,25498
75057,"$1 under $25,000",2780,92,144,105,7490,628
75057,"$25,000 under $50,000",2230,274,430,525,40399,4209
75057,"$50,000 under $75,000",950,298,488,570,39469,5327
75057,"$75,000 under $100,000",410,233,382,433,26896,4042
75057,"$100,000 under $200,000",330,488,722,747,34991,6101
75057,"$200,000 or more",60,232,255,507,18992,5191
,,,,,,,
75058,,1280,2436,3190,2306,66567,12088
75058,"$1 under $25,000",430,0,0,0,952,87
75058,"$25,000 under $50,000",250,246,257,116,4111,484
75058,"$50,000 under $75,000",140,184,257,170,5607,679
75058,"$75,000 under $100,000",130,314,492,278,7024,818
75058,"$100,000 under $200,000",260,1135,1509,1053,25654,4082
75058,"$200,000 or more",70,557,675,689,23219,5938
,,,,,,,
75060,,21050,6978,10716,10994,437580,58314
75060,"$1 under $25,000",9490,495,833,480,21798,1750
75060,"$25,000 under $50,000",6480,1274,2375,2013,102017,9309
75060,"$50,000 under $75,000",2640,1609,2649,2195,97985,11364
75060,"$75,000 under $100,000",1270,1316,1993,1864,78130,10520
75060,"$100,000 under $200,000",1070,2036,2589,3540,105124,17411
75060,"$200,000 or more",100,248,277,902,32526,7960
,,,,,,,
75061,,24060,6569,9680,12544,468668,64850
75061,"$1 under $25,000",11560,421,790,669,26513,2129
75061,"$25,000 under $50,000",7630,1184,1961,2119,118929,10826
75061,"$50,000 under $75,000",2620,1467,2370,2294,98795,11873
75061,"$75,000 under $100,000",1040,1022,1640,1781,63276,8672
75061,"$100,000 under $200,000",1040,1866,2325,3710,107666,18331
75061,"$200,000 or more",170,609,594,1971,53489,13019
,,,,,,,
75062,,22700,11863,13808,19807,710453,130398
75062,"$1 under $25,000",9970,563,783,642,24890,2000
75062,"$25,000 under $50,000",6850,1326,2172,2446,117830,11428
75062,"$50,000 under $75,000",2710,1449,2302,2388,106227,13210
75062,"$75,000 under $100,000",1300,1583,2114,2184,80857,11435
75062,"$100,000 under $200,000",1370,3422,3734,4367,142598,24383
75062,"$200,000 or more",500,3520,2703,7780,238051,67942
,,,,,,,
75063,,18150,34255,34634,26666,1471473,320465
75063,"$1 under $25,000",3790,582,698,329,10907,905
75063,"$25,000 under $50,000",3750,1347,1439,1277,81982,9222
75063,"$50,000 under $75,000",2930,2466,2741,2138,127592,17875
75063,"$75,000 under $100,000",2220,3597,4058,2322,142891,20694
75063,"$100,000 under $200,000",3770,13988,14977,8029,414808,73564
75063,"$200,000 or more",1690,12275,10721,12571,693293,198205
,,,,,,,
75065,,5330,7089,9420,5677,238697,40666
75065,"$1 under $25,000",1670,326,360,150,4710,405
75065,"$25,000 under $50,000",1260,805,938,520,24024,2535
75065,"$50,000 under $75,000",800,1119,1574,839,31597,3881
75065,"$75,000 under $100,000",580,1121,1601,707,35411,4838
75065,"$100,000 under $200,000",830,2612,3550,2241,85346,14423
75065,"$200,000 or more",190,1106,1397,1220,57609,14584
,,,,,,,
75067,,32380,18673,28220,22504,1012364,152426
75067,"$1 under $25,000",11540,687,1107,751,34425,2919
75067,"$25,000 under $50,000",10020,2506,3863,3310,190076,19607
75067,"$50,000 under $75,000",4740,3513,5636,3893,193737,24963
75067,"$75,000 under $100,000",2720,3747,5766,4171,171988,24712
75067,"$100,000 under $200,000",2940,6606,9803,8167,307752,52882
75067,"$200,000 or more",420,1614,2045,2212,114386,27343
,,,,,,,
75068,,20410,37689,54371,25549,950860,152010
75068,"$1 under $25,000",5520,1122,1536,484,13093,1133
75068,"$25,000 under $50,000",4230,4096,5823,2640,74431,7116
75068,"$50,000 under $75,000",3360,6618,9895,3813,127917,14862
75068,"$75,000 under $100,000",2790,7355,10875,4351,166388,21520
75068,"$100,000 under $200,000",3940,14465,21429,10120,396805,65463
75068,"$200,000 or more",570,4033,4813,4141,172226,41916
,,,,,,,
75069,,16530,27957,29662,28712,922220,200034
75069,"$1 under $25,000",6580,921,789,461,15114,1339
75069,"$25,000 under $50,000",4130,1563,1968,1261,69002,6949
75069,"$50,000 under $75,000",1810,2416,2806,1819,70211,8797
75069,"$75,000 under $100,000",1100,2694,3010,2004,67890,9556
75069,"$100,000 under $200,000",1890,8972,9806,6681,199657,33983
75069,"$200,000 or more",1020,11391,11283,16486,500346,139410
,,,,,,,
75070,,40160,112396,134632,95289,3013823,603966
75070,"$1 under $25,000",9780,2595,2615,1091,25521,2260
75070,"$25,000 under $50,000",6260,6322,7851,3626,121813,12719
75070,"$50,000 under $75,000",5250,10543,13450,6429,206308,25376
75070,"$75,000 under $100,000",4860,14673,19446,9200,292280,38734
75070,"$100,000 under $200,000",10380,47239,58948,32772,1096422,185411
75070,"$200,000 or more",3630,31024,32322,42171,1271479,339466
,,,,,,,
75071,,19390,46754,60895,35842,1218500,228891
75071,"$1 under $25,000",5350,1129,1343,556,13744,1227
75071,"$25,000 under $50,000",3500,2758,3817,2106,63279,6446
75071,"$50,000 under $75,000",2550,4816,6580,3120,99075,11735
75071,"$75,000 under $100,000",2340,6676,9273,4051,139811,17967
75071,"$100,000 under $200,000",4300,19892,26958,12915,448991,75266
75071,"$200,000 or more",1350,11483,12924,13094,453600,116250
,,,,,,,
75074,,21570,16793,24076,19481,843209,148322
75074,"$1 under $25,000",8400,641,1007,424,18678,1577
75074,"$25,000 under $50,000",5640,1781,2795,1649,95361,9464
75074,"$50,000 under $75,000",2780,2433,3899,2144,111395,14126
75074,"$75,000 under $100,000",1690,2335,3546,2735,106439,15002
75074,"$100,000 under $200,000",2460,6556,9325,6759,265063,46205
75074,"$200,000 or more",600,3047,3504,5770,246273,61948
,,,,,,,
75075,,16810,19835,24682,23239,885556,155953
75075,"$1 under $25,000",5170,769,897,444,13062,1148
75075,"$25,000 under $50,000",3460,1759,2282,1453,66111,6954
75075,"$50,000 under $75,000",2220,2493,3364,1887,93088,12262
75075,"$75,000 under $100,000",1830,3061,4089,2773,116747,16702
75075,"$100,000 under $200,000",3280,8325,10613,9326,355752,61391
75075,"$200,000 or more",850,3428,3437,7356,240796,57496
,,,,,,,
75076,,3410,3162,3993,3772,153894,27194
75076,"$1 under $25,000",1230,216,262,121,2981,288
75076,"$25,000 under $50,000",770,266,332,315,13910,1471
75076,"$50,000 under $75,000",510,376,480,448,20560,2535
75076,"$75,000 under $100,000",330,434,686,452,20237,2677
75076,"$100,000 under $200,000",440,1079,1403,1194,45030,7485
75076,"$200,000 or more",130,791,830,1242,51176,12738
,,,,,,,
75077,,17280,43408,51295,40082,1480955,319369
75077,"$1 under $25,000",4760,953,1065,514,13091,1198
75077,"$25,000 under $50,000",2770,2284,2831,1428,55160,5901
75077,"$50,000 under $75,000",2180,3961,5245,3116,87437,11038
75077,"$75,000 under $100,000",1860,4659,6171,3612,114158,15314
75077,"$100,000 under $200,000",3990,17535,21554,13189,424627,72140
75077,"$200,000 or more",1720,14016,14429,18223,786482,213778
,,,,,,,
75078,,7160,35729,44611,26677,853580,196878
75078,"$1 under $25,000",1550,571,623,206,3479,326
75078,"$25,000 under $50,000",840,828,887,502,15395,1572
75078,"$50,000 under $75,000",600,1537,2022,904,22039,2657
75078,"$75,000 under $100,000",610,2496,2967,1348,34636,4394
75078,"$100,000 under $200,000",2080,14477,18409,8111,221516,37301
75078,"$200,000 or more",1480,15820,19703,15606,556515,150628
,,,,,,,
75080,,20320,27936,31075,35340,1123642,209910
75080,"$1 under $25,000",6480,993,1121,502,15986,1355
75080,"$25,000 under $50,000",4340,2226,2610,1653,83015,8673
75080,"$50,000 under $75,000",2840,3275,4264,2642,118474,15651
75080,"$75,000 under $100,000",2090,3656,4215,3301,134287,19305
75080,"$100,000 under $200,000",3370,10297,11625,10600,365093,63151
75080,"$200,000 or more",1200,7489,7240,16642,406787,101775
,,,,,,,
75081,,17620,13781,16733,19391,709814,117802
75081,"$1 under $25,000",6010,841,958,523,14789,1275
75081,"$25,000 under $50,000",4300,1748,2229,1846,81527,8505
75081,"$50,000 under $75,000",2650,2474,3430,2647,110572,14653
75081,"$75,000 under $100,000",1810,2369,3270,2636,114633,16414
75081,"$100,000 under $200,000",2400,4725,5535,7246,255779,44224
75081,"$200,000 or more",450,1624,1311,4493,132514,32731
,,,,,,,
75082,,10040,25916,24337,26082,892912,186042
75082,"$1 under $25,000",2480,657,585,247,6183,556
75082,"$25,000 under $50,000",1460,1253,1175,784,30056,3312
75082,"$50,000 under $75,000",1220,1939,1871,1330,50840,6792
75082,"$75,000 under $100,000",1030,2626,2719,1783,64502,9315
75082,"$100,000 under $200,000",2540,10640,10262,9025,282925,49255
75082,"$200,000 or more",1310,8801,7725,12913,458406,116812
,,,,,,,
75087,,14920,33819,45352,33048,972213,178673
75087,"$1 under $25,000",3820,974,1114,492,9286,824
75087,"$25,000 under $50,000",2380,2136,2762,1708,45435,4787
75087,"$50,000 under $75,000",1970,3878,5230,2795,77638,9607
75087,"$75,000 under $100,000",1810,4929,6852,3706,108198,13997
75087,"$100,000 under $200,000",3880,15251,21353,13495,406983,68184
75087,"$200,000 or more",1060,6651,8041,10852,324673,81274
,,,,,,,
75088,,11910,15455,19613,17828,598427,108807
75088,"$1 under $25,000",3680,491,658,303,9001,806
75088,"$25,000 under $50,000",2530,1510,2210,1341,47967,4987
75088,"$50,000 under $75,000",1740,2356,3256,2260,69469,8641
75088,"$75,000 under $100,000",1350,2411,3275,2668,83391,11203
75088,"$100,000 under $200,000",2140,6346,7869,7424,223182,37882
75088,"$200,000 or more",470,2341,2345,3832,165417,45288
,,,,,,,
75089,,14040,21010,31223,20712,650315,105998
75089,"$1 under $25,000",4360,826,1184,426,10358,906
75089,"$25,000 under $50,000",2610,2110,3404,1377,47275,4723
75089,"$50,000 under $75,000",2060,3405,5248,2853,78830,9334
75089,"$75,000 under $100,000",1760,3799,5677,3362,106083,13937
75089,"$100,000 under $200,000",2780,8627,12817,9130,286404,47842
75089,"$200,000 or more",470,2243,2893,3564,121365,29256
,,,,,,,
75090,,9500,3115,4180,4911,205875,29968
75090,"$1 under $25,000",4600,188,232,234,9624,853
75090,"$25,000 under $50,000",2680,357,578,597,41598,3917
75090,"$50,000 under $75,000",1070,474,732,776,40557,4695
75090,"$75,000 under $100,000",530,394,645,681,31839,4148
75090,"$100,000 under $200,000",530,1053,1481,1658,53022,8649
75090,"$200,000 or more",90,649,512,965,29235,7706
,,,,,,,
75092,,10540,7640,9619,13568,432864,78521
75092,"$1 under $25,000",3880,298,405,287,10187,907
75092,"$25,000 under $50,000",2730,756,984,1003,50250,5244
75092,"$50,000 under $75,000",1530,1073,1383,1605,60438,7330
75092,"$75,000 under $100,000",960,1130,1588,1803,58745,7633
75092,"$100,000 under $200,000",1100,2293,3095,4014,114314,19073
75092,"$200,000 or more",340,2090,2164,4856,138930,38334
,,,,,,,
75093,,23500,93047,78558,92873,3336362,848194
75093,"$1 under $25,000",5820,1681,1447,563,16337,1501
75093,"$25,000 under $50,000",3800,2958,2705,1728,81861,8999
75093,"$50,000 under $75,000",2780,4085,4255,2581,117256,15904
75093,"$75,000 under $100,000",1960,5057,4873,2856,122640,18138
75093,"$100,000 under $200,000",4520,23574,22210,14588,502256,88277
75093,"$200,000 or more",4620,55692,43068,70557,2496012,715375
,,,,,,,
75094,,9060,31859,36855,24222,811731,172829
75094,"$1 under $25,000",2160,491,574,165,5215,472
75094,"$25,000 under $50,000",1090,1495,1681,625,18366,1911
75094,"$50,000 under $75,000",860,2220,2573,1117,32450,3962
75094,"$75,000 under $100,000",940,3308,4246,1809,55482,7116
75094,"$100,000 under $200,000",2800,15009,17629,10189,300081,50786
75094,"$200,000 or more",1210,9336,10152,10317,400137,108582
,,,,,,,
75098,,23420,38523,52053,29626,1015214,159912
75098,"$1 under $25,000",7260,1266,1940,590,17903,1592
75098,"$25,000 under $50,000",4910,3859,5474,2357,86289,8417
75098,"$50,000 under $75,000",3510,6002,8309,3816,134690,15774
75098,"$75,000 under $100,000",2830,7147,10224,4897,168282,21469
75098,"$100,000 under $200,000",4270,16375,21690,12656,431261,70681
75098,"$200,000 or more",640,3874,4416,5310,176789,41979
,,,,,,,
75102,,530,154,380,271,16070,2317
75102,"$1 under $25,000",200,0,0,0,347,26
75102,"$25,000 under $50,000",150,62,130,92,2578,276
75102,"$50,000 under $75,000",80,0,0,0,2991,342
75102,"$75,000 under $100,000",50,92,250,179,3031,362
75102,"$100,000 under $200,000",50,0,0,0,7123,1311
75102,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75103,,5470,3347,5367,6343,199830,32706
75103,"$1 under $25,000",2140,241,314,225,3981,365
75103,"$25,000 under $50,000",1260,389,535,634,21389,2150
75103,"$50,000 under $75,000",770,478,843,829,29827,3546
75103,"$75,000 under $100,000",520,438,812,869,30935,3854
75103,"$100,000 under $200,000",630,1149,2091,2013,64892,10701
75103,"$200,000 or more",150,652,772,1773,48806,12090
,,,,,,,
75104,,22210,27263,39400,40142,797892,133956
75104,"$1 under $25,000",8130,1276,2279,1444,18393,1490
75104,"$25,000 under $50,000",6040,4423,6929,6249,107859,10213
75104,"$50,000 under $75,000",3370,5330,8000,7474,127164,15433
75104,"$75,000 under $100,000",1920,4021,6188,6240,114544,15732
75104,"$100,000 under $200,000",2240,8111,11616,11881,223016,37346
75104,"$200,000 or more",510,4102,4388,6854,206916,53742
,,,,,,,
75105,,130,0,0,0,3882,543
75105,"$1 under $25,000",40,0,0,0,0,0
75105,"$25,000 under $50,000",40,0,0,0,611,59
75105,"$50,000 under $75,000",20,0,0,0,842,95
75105,"$75,000 under $100,000",30,0,0,0,2429,389
75105,"$100,000 under $200,000",0,0,0,0,0,0
