Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,date
75028.0,"$1 under $25,000",5056.0,1308.0,2119.0,522.0,13106.0,1169.0,2011-04-01
75028.0,"$25,000 under $50,000",2626.0,2957.0,5027.0,1664.0,52077.0,5482.0,2011-04-01
75028.0,"$50,000 under $75,000",2166.0,4826.0,8555.0,3043.0,85273.0,10407.0,2011-04-01
75028.0,"$75,000 under $100,000",2374.0,7375.0,12865.0,5107.0,142462.0,18721.0,2011-04-01
75028.0,"$100,000 under $200,000",5217.0,24209.0,39735.0,17093.0,550442.0,95724.0,2011-04-01
75028.0,"$200,000 or more",1633.0,12513.0,18804.0,12899.0,475880.0,122335.0,2011-04-01
75032.0,"$1 under $25,000",3843.0,1308.0,1887.0,526.0,8772.0,744.0,2011-04-01
75032.0,"$25,000 under $50,000",2227.0,2313.0,4073.0,1282.0,40475.0,4009.0,2011-04-01
75032.0,"$50,000 under $75,000",1572.0,3512.0,6321.0,2073.0,61067.0,7568.0,2011-04-01
75032.0,"$75,000 under $100,000",1225.0,3697.0,6520.0,2429.0,72273.0,9443.0,2011-04-01
75032.0,"$100,000 under $200,000",2362.0,11775.0,20227.0,8736.0,243209.0,42135.0,2011-04-01
75032.0,"$200,000 or more",1232.0,12516.0,18522.0,15431.0,489471.0,132319.0,2011-04-01
75034.0,"$1 under $25,000",5221.0,1934.0,2961.0,732.0,14196.0,1189.0,2011-04-01
75034.0,"$25,000 under $50,000",3870.0,3538.0,5781.0,2020.0,77351.0,8149.0,2011-04-01
75034.0,"$50,000 under $75,000",2662.0,5422.0,9519.0,3154.0,107305.0,14087.0,2011-04-01
75034.0,"$75,000 under $100,000",2042.0,6229.0,12980.0,3869.0,123511.0,17424.0,2011-04-01
75034.0,"$100,000 under $200,000",4827.0,25412.0,44485.0,15416.0,512555.0,91006.0,2011-04-01
75034.0,"$200,000 or more",3043.0,36255.0,50809.0,42292.0,1372311.0,361885.0,2011-04-01
75035.0,"$1 under $25,000",5038.0,1638.0,2777.0,622.0,13044.0,1074.0,2011-04-01
75035.0,"$25,000 under $50,000",3521.0,4140.0,7828.0,1985.0,69525.0,7074.0,2011-04-01
75035.0,"$50,000 under $75,000",3087.0,6625.0,13082.0,3830.0,123722.0,15504.0,2011-04-01
75035.0,"$75,000 under $100,000",3048.0,8803.0,17548.0,5433.0,184466.0,24735.0,2011-04-01
75035.0,"$100,000 under $200,000",6160.0,24883.0,49686.0,17790.0,640026.0,111131.0,2011-04-01
75035.0,"$200,000 or more",1262.0,7619.0,13730.0,8741.0,327554.0,79642.0,2011-04-01
75038.0,"$1 under $25,000",6058.0,401.0,530.0,253.0,18687.0,1305.0,2011-04-01
75038.0,"$25,000 under $50,000",4376.0,840.0,1579.0,1182.0,87403.0,8666.0,2011-04-01
75038.0,"$50,000 under $75,000",1953.0,1206.0,1731.0,1025.0,83861.0,11472.0,2011-04-01
75038.0,"$75,000 under $100,000",920.0,942.0,1523.0,996.0,58984.0,8779.0,2011-04-01
75038.0,"$100,000 under $200,000",928.0,2734.0,4099.0,2170.0,96833.0,17469.0,2011-04-01
75038.0,"$200,000 or more",457.0,6541.0,6108.0,6599.0,282980.0,81473.0,2011-04-01
75039.0,"$1 under $25,000",1497.0,193.0,304.0,134.0,6690.0,550.0,2011-04-01
75039.0,"$25,000 under $50,000",1825.0,425.0,695.0,480.0,45937.0,5425.0,2011-04-01
75039.0,"$50,000 under $75,000",1478.0,712.0,1422.0,797.0,68545.0,10485.0,2011-04-01
75039.0,"$75,000 under $100,000",858.0,914.0,1655.0,831.0,58278.0,9765.0,2011-04-01
75039.0,"$100,000 under $200,000",1160.0,3420.0,5919.0,2041.0,129674.0,25128.0,2011-04-01
75039.0,"$200,000 or more",583.0,5370.0,7001.0,4183.0,251588.0,67714.0,2011-04-01
75040.0,"$1 under $25,000",12306.0,1156.0,2236.0,705.0,30055.0,2388.0,2011-04-01
75040.0,"$25,000 under $50,000",7640.0,3300.0,7937.0,2720.0,128276.0,11772.0,2011-04-01
75040.0,"$50,000 under $75,000",3508.0,3608.0,7599.0,3469.0,137235.0,16451.0,2011-04-01
75040.0,"$75,000 under $100,000",1741.0,2645.0,5187.0,2838.0,107696.0,14508.0,2011-04-01
75040.0,"$100,000 under $200,000",1681.0,3828.0,6727.0,5646.0,170098.0,29099.0,2011-04-01
75040.0,"$200,000 or more",118.0,450.0,634.0,884.0,28834.0,7068.0,2011-04-01
75041.0,"$1 under $25,000",6494.0,402.0,913.0,343.0,13345.0,1026.0,2011-04-01
75041.0,"$25,000 under $50,000",3816.0,967.0,2419.0,1203.0,59066.0,5286.0,2011-04-01
75041.0,"$50,000 under $75,000",1341.0,1072.0,2203.0,1097.0,52339.0,6302.0,2011-04-01
75041.0,"$75,000 under $100,000",564.0,753.0,1497.0,1051.0,35462.0,4856.0,2011-04-01
75041.0,"$100,000 under $200,000",443.0,913.0,1450.0,1489.0,45192.0,7848.0,2011-04-01
75041.0,"$200,000 or more",52.0,257.0,394.0,580.0,15414.0,3809.0,2011-04-01
75042.0,"$1 under $25,000",8488.0,601.0,1165.0,363.0,18119.0,1398.0,2011-04-01
75042.0,"$25,000 under $50,000",4770.0,1377.0,3258.0,1288.0,74540.0,6673.0,2011-04-01
75042.0,"$50,000 under $75,000",1642.0,1186.0,2330.0,1237.0,63857.0,7657.0,2011-04-01
75042.0,"$75,000 under $100,000",672.0,636.0,1248.0,808.0,42182.0,5764.0,2011-04-01
75042.0,"$100,000 under $200,000",439.0,667.0,1052.0,1126.0,43992.0,7639.0,2011-04-01
75042.0,"$200,000 or more",49.0,291.0,252.0,345.0,16116.0,3986.0,2011-04-01
75043.0,"$1 under $25,000",10998.0,1288.0,2516.0,880.0,27998.0,2262.0,2011-04-01
75043.0,"$25,000 under $50,000",7781.0,3732.0,7881.0,3684.0,142210.0,13853.0,2011-04-01
75043.0,"$50,000 under $75,000",3676.0,4033.0,7937.0,4377.0,146094.0,18126.0,2011-04-01
75043.0,"$75,000 under $100,000",2052.0,3506.0,6586.0,4535.0,125467.0,16779.0,2011-04-01
75043.0,"$100,000 under $200,000",1995.0,5405.0,9772.0,7936.0,201131.0,34571.0,2011-04-01
75043.0,"$200,000 or more",321.0,1776.0,2057.0,3697.0,95792.0,24186.0,2011-04-01
75044.0,"$1 under $25,000",7352.0,1218.0,2086.0,620.0,20080.0,1624.0,2011-04-01
75044.0,"$25,000 under $50,000",5059.0,2911.0,5367.0,2143.0,97458.0,9976.0,2011-04-01
75044.0,"$50,000 under $75,000",2814.0,3705.0,5964.0,2704.0,115760.0,14988.0,2011-04-01
75044.0,"$75,000 under $100,000",1644.0,3438.0,5317.0,3061.0,102526.0,14576.0,2011-04-01
75044.0,"$100,000 under $200,000",2388.0,9153.0,13196.0,8660.0,256463.0,45743.0,2011-04-01
75044.0,"$200,000 or more",741.0,5096.0,6342.0,11071.0,241304.0,62630.0,2011-04-01
75048.0,"$1 under $25,000",2767.0,681.0,1108.0,279.0,7825.0,669.0,2011-04-01
75048.0,"$25,000 under $50,000",1878.0,2094.0,3609.0,1033.0,35451.0,3528.0,2011-04-01
