"ZIP
code [1]",Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-60,-64,-66,-68,-100
77420,"$25,000 under $50,000",260,86,0,144,4382,420
77420,"$50,000 under $75,000",150,0,226,0,5888,711
77420,"$75,000 under $100,000",100,53,0,86,6652,892
77420,"$100,000 under $200,000",130,236,252,344,19100,3307
77420,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77422,,5690,2413,4205,4238,227546,38069
77422,"$1 under $25,000",2000,94,121,159,4577,409
77422,"$25,000 under $50,000",1260,291,472,480,23200,2352
77422,"$50,000 under $75,000",830,363,683,629,32655,3990
77422,"$75,000 under $100,000",630,401,782,764,38685,5318
77422,"$100,000 under $200,000",840,919,1689,1421,86703,14896
77422,"$200,000 or more",130,345,458,785,41726,11104
,,,,,,,
77423,,4510,4265,5474,3668,145608,24062
77423,"$1 under $25,000",1940,178,224,115,3920,319
77423,"$25,000 under $50,000",1180,533,689,412,18303,1708
77423,"$50,000 under $75,000",520,622,798,472,19679,2301
77423,"$75,000 under $100,000",320,795,1044,430,19315,2470
77423,"$100,000 under $200,000",440,1496,1967,1034,45800,7716
77423,"$200,000 or more",110,641,752,1205,38591,9548
,,,,,,,
77426,,960,1256,1669,1922,53859,11051
77426,"$1 under $25,000",400,56,208,46,1059,90
77426,"$25,000 under $50,000",180,88,0,122,3297,339
77426,"$50,000 under $75,000",110,107,150,171,4195,497
77426,"$75,000 under $100,000",80,113,196,179,5237,702
77426,"$100,000 under $200,000",120,363,565,427,13015,2205
77426,"$200,000 or more",70,529,550,977,27056,7218
,,,,,,,
77429,,34950,76328,96899,72683,2827892,610251
77429,"$1 under $25,000",9420,1701,2259,739,23119,2054
77429,"$25,000 under $50,000",5900,4951,7125,3024,113983,11518
77429,"$50,000 under $75,000",4670,7161,10699,4547,186430,22909
77429,"$75,000 under $100,000",3800,8444,12326,5861,232599,31030
77429,"$100,000 under $200,000",7470,27884,37488,21113,803909,138421
77429,"$200,000 or more",3690,26187,27002,37399,1467852,404319
,,,,,,,
77430,,990,854,1517,1041,51010,8939
77430,"$1 under $25,000",330,0,0,0,759,71
77430,"$25,000 under $50,000",200,107,306,185,3709,386
77430,"$50,000 under $75,000",120,72,0,0,4639,575
77430,"$75,000 under $100,000",120,148,281,132,7453,1004
77430,"$100,000 under $200,000",180,317,600,384,19669,3400
77430,"$200,000 or more",40,210,330,340,14781,3503
,,,,,,,
77433,,29030,75349,98418,56998,2072228,415775
77433,"$1 under $25,000",7690,1368,2104,690,17469,1485
77433,"$25,000 under $50,000",5290,4443,6799,2858,95166,8838
77433,"$50,000 under $75,000",3720,6698,9782,4389,142660,16507
77433,"$75,000 under $100,000",3010,8554,11730,5382,179026,23030
77433,"$100,000 under $200,000",6560,32520,42206,19266,695623,118872
77433,"$200,000 or more",2760,21766,25797,24413,942284,247043
,,,,,,,
77434,,2010,588,629,820,51472,8123
77434,"$1 under $25,000",930,60,0,52,1978,163
77434,"$25,000 under $50,000",630,75,248,122,10266,971
77434,"$50,000 under $75,000",220,79,0,94,8223,963
77434,"$75,000 under $100,000",100,95,142,113,6246,805
77434,"$100,000 under $200,000",100,111,239,160,10518,1793
77434,"$200,000 or more",30,168,0,279,14241,3428
,,,,,,,
77435,,2260,1730,2179,1718,102973,18358
77435,"$1 under $25,000",780,53,0,24,1746,154
77435,"$25,000 under $50,000",510,109,190,85,9300,956
77435,"$50,000 under $75,000",300,172,264,156,12108,1472
77435,"$75,000 under $100,000",220,234,354,187,13450,1796
77435,"$100,000 under $200,000",360,766,976,669,37134,6229
77435,"$200,000 or more",90,396,395,597,29235,7751
,,,,,,,
77437,,7680,4698,4729,5218,280084,49568
77437,"$1 under $25,000",3300,262,203,130,7123,631
77437,"$25,000 under $50,000",1800,385,491,407,32331,3180
77437,"$50,000 under $75,000",940,546,624,576,36365,4269
77437,"$75,000 under $100,000",670,646,869,647,40726,5180
77437,"$100,000 under $200,000",760,1657,1701,1568,79643,13272
77437,"$200,000 or more",210,1202,841,1890,83896,23036
,,,,,,,
77441,,4860,24407,27724,16928,697257,161103
77441,"$1 under $25,000",930,288,235,59,2395,220
77441,"$25,000 under $50,000",400,528,446,325,7789,823
77441,"$50,000 under $75,000",300,820,851,409,11707,1469
77441,"$75,000 under $100,000",330,1411,1484,643,19578,2642
77441,"$100,000 under $200,000",1540,9792,11281,4915,170422,29451
77441,"$200,000 or more",1360,11568,13427,10577,485366,126498
,,,,,,,
77442,,430,94,128,184,15982,2678
77442,"$1 under $25,000",170,0,0,0,370,35
77442,"$25,000 under $50,000",110,0,0,0,1639,151
77442,"$50,000 under $75,000",50,0,128,184,2114,249
77442,"$75,000 under $100,000",40,94,0,0,2425,302
77442,"$100,000 under $200,000",60,0,0,0,9434,1941
77442,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77444,,400,159,283,38,12133,1796
77444,"$1 under $25,000",170,57,0,0,386,35
77444,"$25,000 under $50,000",90,0,0,0,1610,155
77444,"$50,000 under $75,000",50,0,0,38,2166,284
77444,"$75,000 under $100,000",30,0,0,0,1695,234
77444,"$100,000 under $200,000",60,102,283,0,6276,1088
77444,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77445,,5240,4053,5124,5148,185624,36242
77445,"$1 under $25,000",2380,267,275,180,5051,418
77445,"$25,000 under $50,000",1390,498,626,485,23355,2227
77445,"$50,000 under $75,000",600,557,807,612,22701,2646
77445,"$75,000 under $100,000",320,518,683,579,19127,2583
77445,"$100,000 under $200,000",400,1233,1819,1295,42401,7369
77445,"$200,000 or more",150,980,914,1997,72989,20999
,,,,,,,
77447,,5910,6519,8586,6184,263830,50239
77447,"$1 under $25,000",2070,173,231,103,4852,430
77447,"$25,000 under $50,000",1520,644,983,695,26732,2600
77447,"$50,000 under $75,000",860,698,1215,727,32998,3838
77447,"$75,000 under $100,000",520,799,1347,671,32020,4202
77447,"$100,000 under $200,000",720,2024,2904,1665,76095,13110
77447,"$200,000 or more",220,2181,1906,2323,91133,26059
,,,,,,,
77449,,46030,31302,56569,31957,1299745,182714
77449,"$1 under $25,000",17510,1980,4714,1063,40711,3333
77449,"$25,000 under $50,000",12680,6908,13007,5526,216977,19726
77449,"$50,000 under $75,000",7420,8296,15310,7266,281247,31960
77449,"$75,000 under $100,000",4080,5526,9901,5353,246303,31908
77449,"$100,000 under $200,000",3890,7337,12109,9659,390424,65543
77449,"$200,000 or more",450,1255,1528,3090,124083,30244
,,,,,,,
77450,,31230,71607,71400,59483,2629904,554291
77450,"$1 under $25,000",8940,1567,1735,588,21835,1915
77450,"$25,000 under $50,000",5350,3799,4970,2226,104465,10789
77450,"$50,000 under $75,000",3680,4953,6251,3551,149555,18994
77450,"$75,000 under $100,000",2950,6167,7462,4274,182677,24910
77450,"$100,000 under $200,000",6320,25178,26913,17209,699317,122284
77450,"$200,000 or more",3990,29943,24069,31635,1472055,375399
,,,,,,,
77455,,890,428,531,580,35825,6121
77455,"$1 under $25,000",330,0,0,42,835,74
77455,"$25,000 under $50,000",210,0,0,0,3711,371
77455,"$50,000 under $75,000",150,103,232,72,6056,714
77455,"$75,000 under $100,000",90,74,0,74,5734,735
77455,"$100,000 under $200,000",80,251,299,156,8486,1441
77455,"$200,000 or more",30,0,0,236,11003,2786
,,,,,,,
77459,,29560,91439,99877,75310,2351469,498784
77459,"$1 under $25,000",7850,2484,2524,1169,18754,1589
77459,"$25,000 under $50,000",4660,5630,7099,3927,89020,9072
77459,"$50,000 under $75,000",3610,8232,10194,6146,141169,17969
77459,"$75,000 under $100,000",3120,10132,12092,7343,188215,25884
77459,"$100,000 under $200,000",7050,36356,40256,27911,753083,130405
77459,"$200,000 or more",3270,28605,27712,28814,1161228,313865
,,,,,,,
77461,,4690,3872,5391,3083,179989,28566
77461,"$1 under $25,000",1740,119,176,81,4247,362
77461,"$25,000 under $50,000",1080,384,486,318,19625,1948
77461,"$50,000 under $75,000",610,504,702,370,24947,3095
77461,"$75,000 under $100,000",470,631,942,363,28968,3765
77461,"$100,000 under $200,000",680,1663,2468,1238,70216,11641
77461,"$200,000 or more",110,571,617,713,31986,7755
,,,,,,,
77465,,3010,1086,1292,1829,97633,14466
77465,"$1 under $25,000",1320,63,0,54,2239,206
77465,"$25,000 under $50,000",740,147,259,165,12100,1144
77465,"$50,000 under $75,000",390,207,205,314,14909,1789
77465,"$75,000 under $100,000",230,132,189,179,14336,1863
77465,"$100,000 under $200,000",280,394,639,602,28532,4806
77465,"$200,000 or more",50,143,0,515,25517,4658
,,,,,,,
77469,,18140,26785,36327,22163,811670,147115
77469,"$1 under $25,000",6340,1023,1436,466,15278,1250
77469,"$25,000 under $50,000",4300,3053,4375,1933,78292,7673
77469,"$50,000 under $75,000",2500,4042,5825,2868,96215,11552
77469,"$75,000 under $100,000",1780,4478,6328,3104,107834,14497
77469,"$100,000 under $200,000",2500,9069,12543,8044,258558,43861
77469,"$200,000 or more",720,5120,5820,5748,255493,68282
,,,,,,,
77471,,16560,9130,13443,9002,430166,64170
77471,"$1 under $25,000",7320,422,690,322,16731,1405
77471,"$25,000 under $50,000",4650,1369,2280,1276,79442,7421
77471,"$50,000 under $75,000",2080,1721,2824,1581,81166,9756
77471,"$75,000 under $100,000",1120,1787,2360,1381,69048,9285
77471,"$100,000 under $200,000",1200,2905,4194,2754,125118,21371
77471,"$200,000 or more",190,926,1095,1688,58661,14932
,,,,,,,
77474,,5980,4261,7683,5198,237778,40759
77474,"$1 under $25,000",2230,184,276,139,4576,397
77474,"$25,000 under $50,000",1500,425,794,603,26212,2534
77474,"$50,000 under $75,000",820,543,1094,546,32081,3750
77474,"$75,000 under $100,000",520,584,1130,565,31363,4019
77474,"$100,000 under $200,000",700,1528,3029,1657,73460,12567
77474,"$200,000 or more",210,997,1360,1688,70086,17492
,,,,,,,
77477,,15740,7389,11537,13950,490106,77955
77477,"$1 under $25,000",6220,354,569,410,15338,1258
77477,"$25,000 under $50,000",4410,1139,1989,2013,81497,7966
77477,"$50,000 under $75,000",2230,1423,2537,2370,91899,11793
77477,"$75,000 under $100,000",1250,1149,2125,2319,78201,11145
77477,"$100,000 under $200,000",1380,2329,3432,4388,145642,25565
77477,"$200,000 or more",250,995,885,2450,77529,20228
,,,,,,,
77478,,12220,29769,25219,35127,1259421,305663
77478,"$1 under $25,000",3260,885,977,313,7607,694
77478,"$25,000 under $50,000",2080,1746,1686,921,41291,4384
77478,"$50,000 under $75,000",1570,2639,2338,1780,64491,8348
77478,"$75,000 under $100,000",1190,2661,2798,2009,74761,10596
77478,"$100,000 under $200,000",2570,8981,8663,8605,285900,50241
77478,"$200,000 or more",1550,12857,8757,21499,785371,231400
,,,,,,,
77479,,34810,142929,123672,97023,4249719,983578
77479,"$1 under $25,000",8300,2450,2007,650,19064,1658
77479,"$25,000 under $50,000",4170,5251,4987,2081,80363,8233
77479,"$50,000 under $75,000",3370,7721,7668,3821,134257,16864
77479,"$75,000 under $100,000",3040,10417,10466,5303,183886,24758
77479,"$100,000 under $200,000",8930,50776,47368,26512,989067,172234
77479,"$200,000 or more",7000,66314,51176,58656,2843082,759831
,,,,,,,
77480,,3160,1486,2294,2399,145397,22047
77480,"$1 under $25,000",1080,56,0,101,2266,195
77480,"$25,000 under $50,000",640,175,241,235,11405,1107
77480,"$50,000 under $75,000",480,141,253,311,19647,2474
77480,"$75,000 under $100,000",330,243,402,408,20852,2879
77480,"$100,000 under $200,000",540,612,1057,998,59045,10266
77480,"$200,000 or more",90,259,341,346,32182,5126
,,,,,,,
77482,,1030,338,679,576,36492,5559
77482,"$1 under $25,000",370,43,0,125,829,69
77482,"$25,000 under $50,000",240,0,0,0,4335,429
77482,"$50,000 under $75,000",140,47,290,98,5542,687
77482,"$75,000 under $100,000",120,57,0,91,6949,884
77482,"$100,000 under $200,000",160,191,389,262,18837,3490
77482,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77484,,5140,4317,6403,4956,216273,39323
77484,"$1 under $25,000",1870,219,241,151,3889,336
77484,"$25,000 under $50,000",1330,379,521,506,22483,2194
77484,"$50,000 under $75,000",680,508,926,528,26363,3171
77484,"$75,000 under $100,000",450,600,911,552,27690,3728
77484,"$100,000 under $200,000",630,1641,2650,1518,66301,11315
77484,"$200,000 or more",180,970,1154,1701,69547,18579
,,,,,,,
77485,,1480,731,1067,769,50450,7828
77485,"$1 under $25,000",580,0,149,50,1301,111
77485,"$25,000 under $50,000",350,128,0,77,6633,688
77485,"$50,000 under $75,000",210,117,157,124,8423,1063
77485,"$75,000 under $100,000",140,105,198,95,8574,1161
77485,"$100,000 under $200,000",170,381,563,423,17532,2881
77485,"$200,000 or more",30,0,0,0,7987,1924
,,,,,,,
77486,,3140,2151,2987,3062,131738,21875
77486,"$1 under $25,000",1110,101,111,83,2924,255
77486,"$25,000 under $50,000",690,249,368,281,12398,1223
77486,"$50,000 under $75,000",400,249,405,344,15645,1905
77486,"$75,000 under $100,000",350,373,540,504,21664,2906
77486,"$100,000 under $200,000",500,806,1138,1216,52299,8991
77486,"$200,000 or more",90,373,425,634,26808,6595
,,,,,,,
77488,,6030,2635,3202,4442,175383,28247
77488,"$1 under $25,000",2800,161,165,252,5894,509
77488,"$25,000 under $50,000",1550,362,559,610,27082,2648
77488,"$50,000 under $75,000",670,378,544,539,26744,3251
77488,"$75,000 under $100,000",420,428,529,578,26060,3441
77488,"$100,000 under $200,000",480,836,1038,1106,50057,8454
77488,"$200,000 or more",110,470,367,1357,39546,9944
,,,,,,,
77489,,18530,10666,20159,24506,428657,58978
77489,"$1 under $25,000",8010,794,1675,1101,19167,1488
77489,"$25,000 under $50,000",5490,2900,5830,5509,99277,9402
77489,"$50,000 under $75,000",2540,2732,5658,6019,98824,12492
77489,"$75,000 under $100,000",1280,1858,3189,4373,78032,11183
77489,"$100,000 under $200,000",1120,2079,3320,6261,111338,19291
77489,"$200,000 or more",90,303,487,1243,22019,5122
,,,,,,,
77493,,12000,16550,23071,15725,575639,101341
77493,"$1 under $25,000",3950,596,752,243,9666,842
77493,"$25,000 under $50,000",2620,1719,2505,1001,47082,4619
77493,"$50,000 under $75,000",1760,2433,3772,1776,68681,8157
77493,"$75,000 under $100,000",1280,2581,3874,1828,77280,10088
77493,"$100,000 under $200,000",1830,5675,8065,5852,188463,31761
77493,"$200,000 or more",560,3546,4103,5025,184467,45874
,,,,,,,
77494,,35770,158291,162032,84627,3981253,858962
77494,"$1 under $25,000",7220,1821,1826,524,16590,1481
77494,"$25,000 under $50,000",3770,4622,5094,1908,72363,7443
77494,"$50,000 under $75,000",3090,8280,9009,3422,120249,14603
77494,"$75,000 under $100,000",3340,12665,13876,5298,199369,25694
77494,"$100,000 under $200,000",11100,63516,69816,27040,1222597,211767
77494,"$200,000 or more",7250,67387,62411,46435,2350085,597974
,,,,,,,
77498,,21640,25004,31643,25633,941232,160784
77498,"$1 under $25,000",7670,1026,1463,486,17470,1462
77498,"$25,000 under $50,000",4770,2766,4129,2080,84716,8178
77498,"$50,000 under $75,000",3050,3710,5281,2976,119818,14365
77498,"$75,000 under $100,000",2130,3693,5242,3178,130719,17713
77498,"$100,000 under $200,000",3120,9303,11252,9617,329335,56139
77498,"$200,000 or more",900,4506,4276,7296,259174,62927
,,,,,,,
77502,,15240,3612,6395,6818,293925,36572
77502,"$1 under $25,000",6940,233,385,357,13676,1127
77502,"$25,000 under $50,000",4440,796,1655,1452,69136,6137
77502,"$50,000 under $75,000",2170,1015,2024,1816,77802,8561
77502,"$75,000 under $100,000",990,651,1098,1443,58575,7577
77502,"$100,000 under $200,000",650,668,1233,1491,62924,10410
77502,"$200,000 or more",50,249,0,259,11812,2760
,,,,,,,
77503,,10160,2324,4450,4077,230699,30822
77503,"$1 under $25,000",4320,85,203,155,9426,786
77503,"$25,000 under $50,000",2890,493,1011,892,49986,4677
77503,"$50,000 under $75,000",1590,656,1234,1066,59703,6890
77503,"$75,000 under $100,000",780,500,944,687,46797,6181
77503,"$100,000 under $200,000",550,590,1058,1277,52731,8817
77503,"$200,000 or more",30,0,0,0,12056,3471
,,,,,,,
77504,,9660,4987,6963,7684,287239,46516
77504,"$1 under $25,000",4080,190,308,192,9150,756
77504,"$25,000 under $50,000",2690,635,1137,862,46837,4487
77504,"$50,000 under $75,000",1270,963,1472,1095,49523,6081
77504,"$75,000 under $100,000",700,880,1312,1109,43095,5919
77504,"$100,000 under $200,000",780,1708,2348,2809,79948,13749
77504,"$200,000 or more",140,611,386,1617,58686,15524
,,,,,,,
77505,,10460,11950,15839,14954,529724,96673
77505,"$1 under $25,000",3320,307,485,240,8516,745
77505,"$25,000 under $50,000",2160,963,1523,888,43031,4475
77505,"$50,000 under $75,000",1510,1618,2299,1706,61232,7839
77505,"$75,000 under $100,000",1100,1723,2619,1744,67916,9415
77505,"$100,000 under $200,000",1930,5229,6878,6247,205655,35564
77505,"$200,000 or more",440,2110,2035,4129,143374,38635
,,,,,,,
77506,,13470,1306,2143,2422,190745,23052
77506,"$1 under $25,000",6950,55,122,134,12575,1030
77506,"$25,000 under $50,000",4250,374,659,835,62409,5314
77506,"$50,000 under $75,000",1530,377,655,664,53172,5441
77506,"$75,000 under $100,000",490,240,420,495,27289,3292
77506,"$100,000 under $200,000",250,260,287,294,35300,7975
77506,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77510,,6510,6116,8688,5442,287243,47534
77510,"$1 under $25,000",2130,256,362,149,5269,475
77510,"$25,000 under $50,000",1410,630,891,545,26900,2839
77510,"$50,000 under $75,000",880,945,1238,622,36082,4617
77510,"$75,000 under $100,000",720,953,1480,703,44827,6064
77510,"$100,000 under $200,000",1190,2522,3723,2225,127869,22260
77510,"$200,000 or more",180,810,994,1198,46296,11279
,,,,,,,
77511,,19620,12367,19142,14336,688966,108864
77511,"$1 under $25,000",7450,526,796,359,17174,1508
77511,"$25,000 under $50,000",4770,1309,2317,1260,85356,8502
77511,"$50,000 under $75,000",2690,1682,2710,1787,106366,12887
77511,"$75,000 under $100,000",1820,2295,3452,2181,112216,15021
77511,"$100,000 under $200,000",2530,5098,8119,5911,263273,44859
77511,"$200,000 or more",360,1457,1748,2838,104581,26087
,,,,,,,
77514,,2270,1187,1997,1643,87739,14620
77514,"$1 under $25,000",880,54,0,0,1656,144
77514,"$25,000 under $50,000",470,93,217,200,7821,749
77514,"$50,000 under $75,000",300,150,227,206,12048,1548
77514,"$75,000 under $100,000",230,193,361,197,14283,1987
77514,"$100,000 under $200,000",330,489,895,722,34767,5960
77514,"$200,000 or more",60,208,297,318,17164,4232
,,,,,,,
77515,,11910,7813,10889,10041,462587,76488
77515,"$1 under $25,000",4340,187,257,214,10243,916
77515,"$25,000 under $50,000",2730,711,924,770,50111,5011
77515,"$50,000 under $75,000",1700,1008,1596,1173,68162,8292
77515,"$75,000 under $100,000",1270,1380,2065,1655,78658,10672
77515,"$100,000 under $200,000",1590,3234,4676,3714,167158,28611
77515,"$200,000 or more",280,1293,1371,2515,88255,22986
,,,,,,,
77517,,2660,2980,4094,2279,127482,21315
77517,"$1 under $25,000",890,117,0,74,2205,200
77517,"$25,000 under $50,000",500,215,315,156,9417,974
77517,"$50,000 under $75,000",350,368,486,197,13952,1710
77517,"$75,000 under $100,000",300,506,744,422,18224,2494
77517,"$100,000 under $200,000",530,1357,2019,1072,57553,10102
77517,"$200,000 or more",90,417,530,358,26131,5835
,,,,,,,
77518,,4100,1945,3020,1816,113085,18716
77518,"$1 under $25,000",2000,158,261,61,4097,372
77518,"$25,000 under $50,000",930,271,403,327,15185,1463
77518,"$50,000 under $75,000",500,366,602,412,19943,2445
77518,"$75,000 under $100,000",280,367,593,326,17393,2523
77518,"$100,000 under $200,000",330,452,815,508,34495,6077
77518,"$200,000 or more",60,331,346,182,21972,5836
,,,,,,,
77519,,440,84,202,360,15731,2293
77519,"$1 under $25,000",150,0,0,0,340,34
77519,"$25,000 under $50,000",100,41,0,165,1749,167
77519,"$50,000 under $75,000",60,0,0,0,2356,263
77519,"$75,000 under $100,000",60,0,202,0,3880,543
77519,"$100,000 under $200,000",70,43,0,195,7406,1286
77519,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77520,,16050,5089,6945,9750,421593,64962
77520,"$1 under $25,000",7100,217,334,333,14151,1145
77520,"$25,000 under $50,000",4230,937,1060,1570,71404,6524
77520,"$50,000 under $75,000",2340,840,1483,1992,85906,9682
77520,"$75,000 under $100,000",1140,828,1257,1657,67626,9031
77520,"$100,000 under $200,000",1080,1413,2216,2862,110237,18583
77520,"$200,000 or more",160,854,595,1336,72269,19997
,,,,,,,
77521,,23270,17588,26861,24395,874644,141344
77521,"$1 under $25,000",8210,551,921,580,19072,1595
77521,"$25,000 under $50,000",5380,1889,3341,2497,96225,9238
77521,"$50,000 under $75,000",3690,3111,5163,4085,141155,16725
77521,"$75,000 under $100,000",2430,3300,5457,3828,146430,19719
77521,"$100,000 under $200,000",3070,6395,9732,8702,314796,53484
77521,"$200,000 or more",490,2342,2247,4703,156966,40583
,,,,,,,
77523,,8550,10622,22519,14114,548502,97599
77523,"$1 under $25,000",2120,154,384,130,5219,474
77523,"$25,000 under $50,000",1310,572,1344,610,24715,2406
77523,"$50,000 under $75,000",1100,985,2049,1077,43352,5218
77523,"$75,000 under $100,000",1030,1509,3209,1687,63269,8466
77523,"$100,000 under $200,000",2510,5461,12296,6331,270228,46491
77523,"$200,000 or more",480,1941,3237,4279,141719,34544
,,,,,,,
77530,,12960,3890,6332,7242,300349,40574
77530,"$1 under $25,000",5320,192,345,271,10767,880
77530,"$25,000 under $50,000",3930,725,1313,1346,62716,5568
77530,"$50,000 under $75,000",2010,1108,1835,2006,73303,8167
77530,"$75,000 under $100,000",940,677,1113,1269,55009,7112
77530,"$100,000 under $200,000",690,892,1311,1775,68146,11335
77530,"$200,000 or more",70,296,415,575,30408,7512
,,,,,,,
77531,,6810,3055,4344,4412,208213,31732
77531,"$1 under $25,000",2730,130,153,120,6630,567
77531,"$25,000 under $50,000",1700,334,420,562,30663,3032
77531,"$50,000 under $75,000",980,479,610,814,37213,4420
77531,"$75,000 under $100,000",590,596,936,751,35005,4588
77531,"$100,000 under $200,000",730,1241,1935,1633,73826,12523
77531,"$200,000 or more",80,275,290,532,24876,6602
,,,,,,,
77532,,12270,12238,17055,12388,537303,89737
77532,"$1 under $25,000",3960,472,562,261,9010,783
77532,"$25,000 under $50,000",2610,1134,1747,1085,47675,4731
77532,"$50,000 under $75,000",1840,1845,2783,1636,72157,8836
77532,"$75,000 under $100,000",1400,1948,2811,1990,86359,11716
77532,"$100,000 under $200,000",2130,5281,7540,5475,220763,37931
77532,"$200,000 or more",330,1558,1612,1941,101339,25740
,,,,,,,
77534,,1320,1202,1585,1216,62345,10602
77534,"$1 under $25,000",400,0,0,0,896,76
77534,"$25,000 under $50,000",300,140,119,103,5549,569
77534,"$50,000 under $75,000",180,137,178,101,6936,823
77534,"$75,000 under $100,000",140,161,208,197,8451,1134
77534,"$100,000 under $200,000",250,523,776,518,26594,4523
77534,"$200,000 or more",50,241,304,297,13919,3477
,,,,,,,
77535,,12090,6501,11591,9127,445021,68727
77535,"$1 under $25,000",4200,354,415,236,8446,753
77535,"$25,000 under $50,000",2810,710,1211,1082,49101,4840
77535,"$50,000 under $75,000",1830,890,1646,1262,71490,8614
77535,"$75,000 under $100,000",1290,989,2008,1451,79456,10629
77535,"$100,000 under $200,000",1760,2743,5345,3587,182102,30978
77535,"$200,000 or more",200,815,966,1509,54426,12913
,,,,,,,
77536,,15390,14619,22549,19277,729066,121485
77536,"$1 under $25,000",4610,385,597,381,12181,1101
77536,"$25,000 under $50,000",3180,1160,1979,1471,62697,6481
77536,"$50,000 under $75,000",2320,2050,3460,2335,94854,12067
77536,"$75,000 under $100,000",1800,2513,4106,2625,111524,15237
77536,"$100,000 under $200,000",3010,6542,10069,8735,318709,55038
77536,"$200,000 or more",470,1969,2338,3730,129101,31561
,,,,,,,
77538,,390,155,227,199,13861,2126
77538,"$1 under $25,000",140,0,0,0,320,31
77538,"$25,000 under $50,000",100,0,0,94,1551,155
77538,"$50,000 under $75,000",60,56,0,0,2499,298
77538,"$75,000 under $100,000",40,0,0,0,2664,347
77538,"$100,000 under $200,000",50,99,227,105,6827,1295
77538,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77539,,18430,18934,25335,15925,710847,118580
77539,"$1 under $25,000",6830,747,980,422,15694,1371
77539,"$25,000 under $50,000",4160,1983,2756,1654,76407,7713
77539,"$50,000 under $75,000",2640,3450,4635,2256,106578,13445
77539,"$75,000 under $100,000",1810,3411,4852,2171,113327,16091
77539,"$100,000 under $200,000",2560,7109,9570,5984,268186,46724
77539,"$200,000 or more",430,2234,2542,3438,130655,33236
,,,,,,,
77541,,6850,1748,2715,2991,176594,25572
77541,"$1 under $25,000",3000,61,0,79,5817,477
77541,"$25,000 under $50,000",1770,220,412,468,29923,2827
77541,"$50,000 under $75,000",970,347,525,634,36208,4119
77541,"$75,000 under $100,000",510,316,483,439,30908,4156
77541,"$100,000 under $200,000",530,577,1029,990,54067,9306
77541,"$200,000 or more",70,227,266,381,19671,4687
,,,,,,,
77545,,10080,11119,19720,15335,275436,38762
77545,"$1 under $25,000",3950,611,1155,459,8478,668
77545,"$25,000 under $50,000",2820,2664,4400,2657,47087,4025
77545,"$50,000 under $75,000",1560,2823,5170,3506,57045,6570
77545,"$75,000 under $100,000",830,1970,3701,2923,48114,6603
77545,"$100,000 under $200,000",840,2429,4656,4537,81242,13613
77545,"$200,000 or more",80,622,638,1253,33470,7283
,,,,,,,
77546,,22890,52403,59855,49602,1918531,425174
77546,"$1 under $25,000",6460,914,1051,419,16365,1458
77546,"$25,000 under $50,000",3710,2371,3356,1670,73300,7674
77546,"$50,000 under $75,000",2730,3626,4730,2953,110958,13892
77546,"$75,000 under $100,000",2360,4632,6258,3897,145103,19747
77546,"$100,000 under $200,000",5160,20328,24742,17241,557946,96265
77546,"$200,000 or more",2470,20532,19718,23422,1014859,286138
,,,,,,,
77547,,4030,753,1026,1346,70842,8415
77547,"$1 under $25,000",1780,0,0,55,3469,289
77547,"$25,000 under $50,000",1360,214,352,300,21552,1897
77547,"$50,000 under $75,000",550,219,335,371,19141,2070
77547,"$75,000 under $100,000",210,127,187,260,11948,1444
77547,"$100,000 under $200,000",130,193,152,360,14732,2715
77547,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
77550,,10490,4662,5942,5951,315664,48735
77550,"$1 under $25,000",5400,308,375,223,13186,1172
77550,"$25,000 under $50,000",2670,550,898,748,51155,5382
77550,"$50,000 under $75,000",1110,602,946,682,47496,6598
77550,"$75,000 under $100,000",530,560,867,567,34969,5328
77550,"$100,000 under $200,000",570,1209,1577,1256,60804,10839
77550,"$200,000 or more",210,1433,1279,2475,108054,19416
,,,,,,,
77551,,9330,4417,5888,5253,296896,53088
77551,"$1 under $25,000",4500,223,333,180,11491,1030
77551,"$25,000 under $50,000",2320,499,727,458,43646,4506
77551,"$50,000 under $75,000",1030,576,918,730,42348,5554
77551,"$75,000 under $100,000",580,576,995,652,37330,5511
77551,"$100,000 under $200,000",640,1209,1714,1317,69053,11932
77551,"$200,000 or more",260,1334,1201,1916,93028,24555
,,,,,,,
77554,,3820,8381,9033,5910,346177,78222
77554,"$1 under $25,000",1240,283,276,103,3351,305
77554,"$25,000 under $50,000",710,471,470,246,14792,1660
77554,"$50,000 under $75,000",460,716,764,362,19316,2692
77554,"$75,000 under $100,000",340,723,881,433,21362,3141
77554,"$100,000 under $200,000",690,2881,3134,1421,76932,13919
77554,"$200,000 or more",380,3307,3508,3345,210424,56505
,,,,,,,
77560,,480,172,202,350,15086,2244
77560,"$1 under $25,000",200,0,0,0,500,45
