"ZIP
code [1]",Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-60,-64,-66,-68,-100
75067,"$1 under $25,000",11730,727,1269,661,33822,2822
75067,"$25,000 under $50,000",9820,2545,4531,3162,186523,19274
75067,"$50,000 under $75,000",4330,3467,6165,3819,177884,23112
75067,"$75,000 under $100,000",2480,3822,6190,3933,156349,22406
75067,"$100,000 under $200,000",2750,6467,10292,8021,285623,49640
75067,"$200,000 or more",360,1642,2238,2077,92760,22925
,,,,,,,
75068,,19440,32707,52334,23926,858863,135450
75068,"$1 under $25,000",5410,1172,1742,522,13361,1147
75068,"$25,000 under $50,000",4140,3955,6292,2476,73846,7033
75068,"$50,000 under $75,000",3360,6027,10278,3920,128013,14861
75068,"$75,000 under $100,000",2720,6584,11013,4395,162776,20827
75068,"$100,000 under $200,000",3340,11793,18975,8642,334258,55476
75068,"$200,000 or more",470,3176,4034,3971,146609,36106
,,,,,,,
75069,,16340,26347,32613,25425,828936,176849
75069,"$1 under $25,000",6780,1068,1279,513,15440,1351
75069,"$25,000 under $50,000",3960,1657,2684,1233,66340,6742
75069,"$50,000 under $75,000",1740,2409,3771,1716,68165,8584
75069,"$75,000 under $100,000",1090,2710,3104,2106,67192,9387
75069,"$100,000 under $200,000",1810,8028,10059,6759,189235,32258
75069,"$200,000 or more",960,10475,11716,13098,422564,118527
,,,,,,,
75070,,38800,102034,136836,89102,2801984,561554
75070,"$1 under $25,000",9460,2797,3122,1098,24879,2223
75070,"$25,000 under $50,000",6270,6574,9476,3863,122805,12689
75070,"$50,000 under $75,000",5220,10321,14863,6619,206259,25455
75070,"$75,000 under $100,000",4920,13680,20000,9192,296846,39434
75070,"$100,000 under $200,000",9750,42284,59183,31110,1020247,173076
75070,"$200,000 or more",3180,26378,30192,37220,1130948,308677
,,,,,,,
75071,,18550,40569,59349,32318,1085942,202708
75071,"$1 under $25,000",5140,1210,1504,610,12581,1099
75071,"$25,000 under $50,000",3440,2851,4636,2171,62054,6067
75071,"$50,000 under $75,000",2580,4690,7152,3207,100575,11884
75071,"$75,000 under $100,000",2310,6166,10015,4056,137511,17402
75071,"$100,000 under $200,000",3960,16661,24711,11753,411160,69448
75071,"$200,000 or more",1120,8991,11331,10521,362061,96808
,,,,,,,
75074,,20980,16235,25432,16857,783715,121987
75074,"$1 under $25,000",8430,768,1244,441,18960,1578
75074,"$25,000 under $50,000",5410,1740,3134,1649,91442,9041
